Fragment length, Fraction of reads
1,3.637884933699547e-05
2,0.0001455153973479819
3,0.00010913654801098641
4,0.00010913654801098641
5,7.275769867399094e-05
6,3.637884933699547e-05
7,5.4568274005493205e-05
9,9.094712334248868e-05
10,3.637884933699547e-05
11,1.8189424668497736e-05
12,1.8189424668497736e-05
14,3.637884933699547e-05
16,3.637884933699547e-05
17,5.4568274005493205e-05
18,3.637884933699547e-05
19,3.637884933699547e-05
20,1.8189424668497736e-05
22,5.4568274005493205e-05
23,1.8189424668497736e-05
24,1.8189424668497736e-05
25,1.8189424668497736e-05
26,1.8189424668497736e-05
30,3.637884933699547e-05
32,1.8189424668497736e-05
38,1.8189424668497736e-05
39,1.8189424668497736e-05
43,1.8189424668497736e-05
44,1.8189424668497736e-05
46,1.8189424668497736e-05
48,3.637884933699547e-05
50,3.637884933699547e-05
51,1.8189424668497736e-05
57,3.637884933699547e-05
59,3.637884933699547e-05
62,0.00010913654801098641
63,5.4568274005493205e-05
64,0.0004183567673754479
65,0.0006002510140604252
66,0.0007821452607454026
67,0.0006548192880659185
68,0.00020008367135347508
69,0.00016370482201647963
70,0.00023646252069047056
71,0.00012732597267948415
72,3.637884933699547e-05
73,7.275769867399094e-05
74,3.637884933699547e-05
75,0.00020008367135347508
76,7.275769867399094e-05
77,3.637884933699547e-05
79,1.8189424668497736e-05
80,5.4568274005493205e-05
81,0.00012732597267948415
82,7.275769867399094e-05
83,1.8189424668497736e-05
84,1.8189424668497736e-05
85,3.637884933699547e-05
86,7.275769867399094e-05
87,3.637884933699547e-05
88,0.00010913654801098641
89,3.637884933699547e-05
90,9.094712334248868e-05
91,7.275769867399094e-05
92,5.4568274005493205e-05
93,7.275769867399094e-05
94,3.637884933699547e-05
95,0.00012732597267948415
96,0.00012732597267948415
97,5.4568274005493205e-05
98,0.00018189424668497737
99,9.094712334248868e-05
100,0.0001455153973479819
101,9.094712334248868e-05
102,0.00012732597267948415
103,0.00021827309602197282
104,3.637884933699547e-05
105,0.0001455153973479819
106,0.00016370482201647963
107,0.00010913654801098641
108,0.00012732597267948415
109,0.0001455153973479819
110,0.00012732597267948415
111,0.0001455153973479819
112,0.00012732597267948415
113,0.00010913654801098641
114,0.00016370482201647963
115,9.094712334248868e-05
116,5.4568274005493205e-05
117,0.00020008367135347508
118,0.00016370482201647963
119,0.00021827309602197282
120,3.637884933699547e-05
121,0.00018189424668497737
122,0.00020008367135347508
123,0.0001455153973479819
124,7.275769867399094e-05
125,0.00020008367135347508
126,9.094712334248868e-05
127,0.00027284137002746604
128,0.0004183567673754479
129,0.00016370482201647963
130,0.0002546519453589683
131,0.00018189424668497737
132,0.00020008367135347508
133,0.00032740964403295926
134,0.0002546519453589683
135,0.00018189424668497737
136,0.00021827309602197282
137,0.0002546519453589683
138,0.00032740964403295926
139,0.00021827309602197282
140,0.00012732597267948415
141,9.094712334248868e-05
142,0.0002546519453589683
143,0.0004547356167124434
144,0.0001455153973479819
145,9.094712334248868e-05
146,0.0001455153973479819
147,0.0001455153973479819
148,0.00023646252069047056
149,0.00021827309602197282
150,0.0002910307946959638
151,0.00027284137002746604
152,0.00023646252069047056
153,0.00016370482201647963
154,0.00027284137002746604
155,0.00036378849336995473
156,0.0001455153973479819
157,0.00018189424668497737
158,0.0004729250413809411
159,0.00032740964403295926
160,0.00020008367135347508
161,0.0003819779180384524
162,0.0004183567673754479
163,0.0005820615893919276
164,0.0006002510140604252
165,0.0005456827400549321
166,0.0006548192880659185
167,0.0005093038907179366
168,0.00043654619204394564
169,0.0002546519453589683
170,0.0003092202193644615
171,0.0003819779180384524
172,0.0003092202193644615
173,0.00036378849336995473
174,0.0004729250413809411
175,0.0006730087127344162
176,0.0006002510140604252
177,0.0009458500827618822
178,0.0004547356167124434
179,0.0010367972061043709
180,0.0005456827400549321
181,0.0005274933153864343
182,0.0012005020281208505
183,0.001509722247485312
184,0.0014187751241428233
185,0.0011095549047783618
186,0.0026738454262691673
187,0.002546519453589683
188,0.004620113865798425
189,0.0036924532077050403
190,0.00289211852229114
191,0.006839223675355149
192,0.015151790748858614
193,0.018753296833221165
194,0.008749113265547412
195,0.02322789530167161
196,0.015188169598195609
197,0.024501155028466448
198,0.029448678538297832
199,0.027029485057387635
200,0.5720574058242538
201,0.01966276806664605
202,0.015188169598195609
203,0.020772322971424412
204,0.01575204176291904
205,0.015370063844880587
206,0.00698473907270313
207,0.0136420685013733
208,0.019317168997944594
209,0.010822707677756152
210,0.011222875020463102
