Fragment length, Fraction of reads
1,3.647283381761151e-05
2,6.078805636268586e-05
3,4.863044509014869e-05
4,8.51032789077602e-05
5,7.294566763522303e-05
6,4.863044509014869e-05
7,4.863044509014869e-05
8,1.2157611272537173e-05
9,3.647283381761151e-05
10,1.2157611272537173e-05
11,2.4315222545074345e-05
12,2.4315222545074345e-05
13,1.2157611272537173e-05
14,2.4315222545074345e-05
17,1.2157611272537173e-05
34,1.2157611272537173e-05
46,1.2157611272537173e-05
62,1.2157611272537173e-05
67,1.2157611272537173e-05
68,1.2157611272537173e-05
69,1.2157611272537173e-05
71,1.2157611272537173e-05
77,2.4315222545074345e-05
79,1.2157611272537173e-05
80,1.2157611272537173e-05
81,1.2157611272537173e-05
83,1.2157611272537173e-05
88,1.2157611272537173e-05
96,1.2157611272537173e-05
97,1.2157611272537173e-05
99,1.2157611272537173e-05
101,1.2157611272537173e-05
102,3.647283381761151e-05
103,1.2157611272537173e-05
104,1.2157611272537173e-05
105,1.2157611272537173e-05
109,1.2157611272537173e-05
110,1.2157611272537173e-05
111,1.2157611272537173e-05
113,3.647283381761151e-05
114,1.2157611272537173e-05
115,2.4315222545074345e-05
116,2.4315222545074345e-05
117,2.4315222545074345e-05
118,7.294566763522303e-05
119,1.2157611272537173e-05
120,3.647283381761151e-05
121,1.2157611272537173e-05
123,2.4315222545074345e-05
125,3.647283381761151e-05
126,6.078805636268586e-05
127,4.863044509014869e-05
128,4.863044509014869e-05
129,6.078805636268586e-05
130,4.863044509014869e-05
131,1.2157611272537173e-05
132,3.647283381761151e-05
133,4.863044509014869e-05
134,6.078805636268586e-05
135,3.647283381761151e-05
136,7.294566763522303e-05
137,6.078805636268586e-05
138,2.4315222545074345e-05
139,7.294566763522303e-05
140,1.2157611272537173e-05
141,2.4315222545074345e-05
142,9.726089018029738e-05
143,1.2157611272537173e-05
144,6.078805636268586e-05
145,7.294566763522303e-05
146,2.4315222545074345e-05
147,6.078805636268586e-05
148,6.078805636268586e-05
149,6.078805636268586e-05
150,3.647283381761151e-05
151,7.294566763522303e-05
152,0.00010941850145283455
153,3.647283381761151e-05
154,8.51032789077602e-05
155,0.00010941850145283455
156,9.726089018029738e-05
157,4.863044509014869e-05
158,6.078805636268586e-05
159,0.00010941850145283455
160,4.863044509014869e-05
161,6.078805636268586e-05
162,8.51032789077602e-05
163,6.078805636268586e-05
164,8.51032789077602e-05
165,3.647283381761151e-05
166,4.863044509014869e-05
167,8.51032789077602e-05
168,4.863044509014869e-05
169,3.647283381761151e-05
170,7.294566763522303e-05
171,9.726089018029738e-05
172,7.294566763522303e-05
173,4.863044509014869e-05
174,4.863044509014869e-05
175,6.078805636268586e-05
176,7.294566763522303e-05
177,6.078805636268586e-05
178,0.00010941850145283455
179,0.00012157611272537172
180,8.51032789077602e-05
181,7.294566763522303e-05
182,8.51032789077602e-05
183,6.078805636268586e-05
184,9.726089018029738e-05
185,8.51032789077602e-05
186,6.078805636268586e-05
187,8.51032789077602e-05
188,8.51032789077602e-05
189,8.51032789077602e-05
190,0.00014589133527044605
191,0.00018236416908805757
192,0.00014589133527044605
193,0.00013373372399790888
194,8.51032789077602e-05
195,0.00014589133527044605
196,0.00010941850145283455
197,8.51032789077602e-05
198,8.51032789077602e-05
199,9.726089018029738e-05
200,0.00014589133527044605
201,4.863044509014869e-05
202,7.294566763522303e-05
203,0.00019452178036059476
204,0.00010941850145283455
205,3.647283381761151e-05
206,0.00012157611272537172
207,0.00015804894654298322
208,8.51032789077602e-05
209,8.51032789077602e-05
210,6.078805636268586e-05
211,6.078805636268586e-05
212,7.294566763522303e-05
213,0.00010941850145283455
214,0.00014589133527044605
215,0.00010941850145283455
216,0.00018236416908805757
217,0.00015804894654298322
218,0.00014589133527044605
219,8.51032789077602e-05
220,0.00012157611272537172
221,4.863044509014869e-05
222,0.00015804894654298322
223,0.00023099461417820628
224,8.51032789077602e-05
225,7.294566763522303e-05
226,7.294566763522303e-05
227,9.726089018029738e-05
228,0.00018236416908805757
229,8.51032789077602e-05
230,6.078805636268586e-05
231,7.294566763522303e-05
232,7.294566763522303e-05
233,7.294566763522303e-05
234,1.2157611272537173e-05
235,7.294566763522303e-05
236,4.863044509014869e-05
237,9.726089018029738e-05
238,0.00010941850145283455
239,0.00018236416908805757
240,0.00010941850145283455
241,0.00013373372399790888
242,9.726089018029738e-05
243,0.00012157611272537172
244,0.00010941850145283455
245,0.00012157611272537172
246,0.00013373372399790888
247,8.51032789077602e-05
248,9.726089018029738e-05
249,0.00013373372399790888
250,8.51032789077602e-05
251,8.51032789077602e-05
252,0.00012157611272537172
253,0.00012157611272537172
254,9.726089018029738e-05
255,0.00013373372399790888
256,0.00015804894654298322
257,8.51032789077602e-05
258,9.726089018029738e-05
259,7.294566763522303e-05
260,9.726089018029738e-05
261,6.078805636268586e-05
262,0.00013373372399790888
263,0.00010941850145283455
264,0.00010941850145283455
265,8.51032789077602e-05
266,0.00010941850145283455
267,0.00014589133527044605
268,9.726089018029738e-05
269,0.00012157611272537172
270,8.51032789077602e-05
271,2.4315222545074345e-05
272,6.078805636268586e-05
273,7.294566763522303e-05
274,8.51032789077602e-05
275,7.294566763522303e-05
276,6.078805636268586e-05
277,8.51032789077602e-05
278,0.0001702065578155204
279,8.51032789077602e-05
280,0.00018236416908805757
281,0.00010941850145283455
282,9.726089018029738e-05
283,7.294566763522303e-05
284,0.00015804894654298322
285,9.726089018029738e-05
286,0.00019452178036059476
287,4.863044509014869e-05
288,8.51032789077602e-05
289,0.00010941850145283455
290,0.00010941850145283455
291,0.00010941850145283455
292,0.00012157611272537172
293,4.863044509014869e-05
294,0.00015804894654298322
295,0.00012157611272537172
296,9.726089018029738e-05
297,9.726089018029738e-05
298,9.726089018029738e-05
299,0.0002553098367232806
300,0.00015804894654298322
301,0.0001702065578155204
302,0.00026746744799581776
303,0.00027962505926835496
304,0.0001702065578155204
305,0.00013373372399790888
306,0.0002188370029056691
307,0.00014589133527044605
308,0.00015804894654298322
309,0.00015804894654298322
310,0.00018236416908805757
311,0.00023099461417820628
312,0.00023099461417820628
313,0.00023099461417820628
314,0.0002553098367232806
315,0.0003890435607211895
316,0.0006929838425346188
317,0.0002917826705408921
318,0.0003404131156310408
319,0.00031609789308596645
320,0.00040120117199372667
321,0.0003404131156310408
322,0.00044983161708387536
323,0.0005835653410817842
324,0.00023099461417820628
325,0.00046198922835641255
326,0.00032825550435850364
327,0.000498462062174024
328,0.0006565110087170073
329,0.0008388751778050648
330,0.0005349348959916355
331,0.0010577121807107339
332,0.0005470925072641727
333,0.0006929838425346188
334,0.001556174242884758
335,0.002042478693786245
336,0.0017142231894277413
337,0.001410282907614312
338,0.0038782779959393577
339,0.0051791424021008356
340,0.007416142876247675
341,0.005616816407912174
342,0.005130511957010687
343,0.011160687148189123
344,0.0199506400982335
