Fragment length, Fraction of reads
5,9.466738613880131e-06
7,9.466738613880131e-06
15,9.466738613880131e-06
25,9.466738613880131e-06
47,9.466738613880131e-06
60,9.466738613880131e-06
61,1.8933477227760263e-05
63,7.573390891104105e-05
64,4.733369306940066e-05
65,6.626717029716093e-05
66,0.0001230676019804417
67,6.626717029716093e-05
68,0.00011360086336656159
69,7.573390891104105e-05
70,0.00011360086336656159
71,6.626717029716093e-05
72,0.00016093455643596225
73,7.573390891104105e-05
74,7.573390891104105e-05
75,3.7866954455520525e-05
76,6.626717029716093e-05
77,0.00010413412475268145
78,5.6800431683280795e-05
79,6.626717029716093e-05
80,8.520064752492119e-05
81,9.466738613880132e-05
82,4.733369306940066e-05
83,8.520064752492119e-05
84,1.8933477227760263e-05
85,9.466738613880132e-05
86,0.0001514678178220821
87,7.573390891104105e-05
88,0.00011360086336656159
89,0.00011360086336656159
90,5.6800431683280795e-05
91,7.573390891104105e-05
92,0.00014200107920820198
93,0.00014200107920820198
94,9.466738613880132e-05
95,0.0002366684653470033
96,0.00014200107920820198
97,0.00014200107920820198
98,0.00016093455643596225
99,0.00018933477227760264
100,0.00013253434059432186
101,0.00013253434059432186
102,9.466738613880132e-05
103,0.00014200107920820198
104,0.0001514678178220821
105,0.00013253434059432186
106,0.00018933477227760264
107,0.00017040129504984237
108,0.0002366684653470033
109,9.466738613880132e-05
110,0.00018933477227760264
111,0.00018933477227760264
112,0.0001514678178220821
113,0.0002461352039608834
114,0.0001514678178220821
115,0.00017986803366372252
116,0.00025560194257476357
117,0.0004449367148523662
118,0.0001514678178220821
119,0.0002082682495053629
120,0.0001514678178220821
121,0.00016093455643596225
122,0.0001230676019804417
123,0.00031240237425804435
124,0.0002745354198025238
125,0.00028400215841640396
126,0.00022720172673312318
127,0.00031240237425804435
128,0.00040706976039684567
129,0.0003786695445552053
130,0.00036920280594132513
131,0.0004922704079217668
132,0.000577471055446688
133,0.0003976030217829656
134,0.0004449367148523662
135,0.00045440345346624636
136,0.0005206706237634072
137,0.0005585375782189278
138,0.00046387019208012645
139,0.0005964045326744483
140,0.0005490708396050476
141,0.0005585375782189278
142,0.0006058712712883284
143,0.0005869377940605682
144,0.0007289388732687702
145,0.000577471055446688
146,0.0005490708396050476
147,0.0006532049643577291
148,0.0007573390891104106
149,0.0005206706237634072
150,0.0005490708396050476
151,0.0005112038851495271
152,0.0005585375782189278
153,0.0006058712712883284
154,0.0005112038851495271
155,0.0007668058277242907
156,0.0005585375782189278
157,0.0005396041009911675
158,0.000501737146535647
159,0.000643738225743849
160,0.00048280366930788675
161,0.0007100053960410099
162,0.0006721384415854894
163,0.0005869377940605682
164,0.0006153380099022086
165,0.0005869377940605682
166,0.0006153380099022086
167,0.0007478723504965305
168,0.0007668058277242907
169,0.0006532049643577291
170,0.0005396041009911675
171,0.0006721384415854894
172,0.0007100053960410099
173,0.0009845408158435337
174,0.0007100053960410099
175,0.0006342714871299689
176,0.0004733369306940066
177,0.0007100053960410099
178,0.0007478723504965305
179,0.0006626717029716093
180,0.0008898734297047324
181,0.0006721384415854894
182,0.0007100053960410099
183,0.0006532049643577291
184,0.0008898734297047324
185,0.0007289388732687702
186,0.0007668058277242907
187,0.00045440345346624636
188,0.0004449367148523662
189,0.0005396041009911675
190,0.00048280366930788675
191,0.00048280366930788675
192,0.0007100053960410099
193,0.000643738225743849
194,0.0004733369306940066
195,0.0004165364990107258
196,0.0006910719188132497
197,0.0005396041009911675
198,0.0004165364990107258
199,0.0003786695445552053
200,0.00048280366930788675
201,0.0006153380099022086
202,0.00045440345346624636
203,0.0006910719188132497
204,0.0002745354198025238
205,0.0004165364990107258
206,0.0006342714871299689
207,0.0003976030217829656
208,0.00048280366930788675
209,0.00031240237425804435
210,0.00045440345346624636
211,0.00028400215841640396
212,0.0004165364990107258
213,0.00045440345346624636
214,0.00028400215841640396
215,0.0002461352039608834
216,0.00036920280594132513
217,0.0005680043168328079
218,0.0002366684653470033
219,0.0002650686811886437
220,0.00034080259009968474
221,0.00028400215841640396
222,0.00038813628316908543
223,0.0003976030217829656
224,0.00031240237425804435
225,0.0003786695445552053
226,0.00028400215841640396
227,0.0002745354198025238
228,0.0002650686811886437
229,0.0002650686811886437
230,0.00022720172673312318
231,0.00018933477227760264
232,0.0003218691128719245
233,0.00022720172673312318
234,0.0002082682495053629
235,0.00014200107920820198
236,0.00017040129504984237
237,0.0002082682495053629
238,0.00017040129504984237
239,0.0001988015108914828
240,0.00014200107920820198
241,0.00013253434059432186
242,0.00014200107920820198
243,0.0001988015108914828
244,0.00036920280594132513
245,0.00022720172673312318
246,0.00022720172673312318
247,0.00013253434059432186
248,0.00014200107920820198
249,0.0002082682495053629
250,0.00013253434059432186
251,0.0002745354198025238
252,0.0004165364990107258
253,0.0001514678178220821
254,0.0001230676019804417
255,0.00017040129504984237
256,0.0001514678178220821
257,0.0001514678178220821
258,0.0001988015108914828
259,0.0001988015108914828
260,0.00017986803366372252
261,0.00011360086336656159
262,0.00011360086336656159
263,0.00025560194257476357
264,0.0002366684653470033
265,0.0001230676019804417
266,0.00013253434059432186
267,0.0002745354198025238
268,0.0001230676019804417
269,0.00016093455643596225
270,0.00016093455643596225
271,0.0001230676019804417
272,9.466738613880132e-05
273,0.00010413412475268145
274,0.00022720172673312318
275,0.00010413412475268145
276,0.00011360086336656159
277,0.00014200107920820198
278,0.0002082682495053629
279,0.00016093455643596225
280,9.466738613880132e-05
281,9.466738613880132e-05
282,8.520064752492119e-05
283,7.573390891104105e-05
284,0.00014200107920820198
285,0.00013253434059432186
286,0.00014200107920820198
287,0.0001230676019804417
288,0.00010413412475268145
289,0.00018933477227760264
290,0.00018933477227760264
291,0.00014200107920820198
292,9.466738613880132e-05
293,0.00022720172673312318
294,0.00010413412475268145
295,0.00017986803366372252
296,0.00011360086336656159
297,0.00017040129504984237
298,8.520064752492119e-05
299,7.573390891104105e-05
300,0.00010413412475268145
301,0.00021773498811924303
302,0.00017040129504984237
303,9.466738613880132e-05
304,0.0002082682495053629
305,0.0004449367148523662
306,0.00017986803366372252
307,0.0001230676019804417
308,0.00017040129504984237
309,0.0001988015108914828
310,0.00017986803366372252
311,0.00025560194257476357
312,0.00025560194257476357
313,0.0002745354198025238
314,0.000501737146535647
315,0.00016093455643596225
316,0.0003502693287135649
317,0.00038813628316908543
318,0.00038813628316908543
319,0.00025560194257476357
320,0.00034080259009968474
321,0.00042600323762460597
322,0.0005680043168328079
323,0.0003218691128719245
324,0.0005396041009911675
325,0.0003502693287135649
326,0.0007100053960410099
327,0.0005680043168328079
328,0.0005585375782189278
329,0.0007952060435659312
330,0.0007762725663381709
331,0.0007100053960410099
332,0.0008425397366353317
333,0.0007762725663381709
334,0.0011076084178239754
335,0.0015241449168347013
336,0.0015430783940624615
337,0.0016093455643596225
