Compared Sample,ATMi0 - S1,ATMi0 - S2,ATMi0 - S3,ATMi1 - S1,ATMi1 - S2,ATMi1 - S3,ATMi2 - S1,ATMi2 - S2,ATMi2 - S3,ATMi3 - S1,ATMi3 - S2,ATMi3 - S3,ATMi4 - S1,ATMi4 - S2,ATMi4 - S3
ATMi0 - S1,1.0,2.755567031737199e-62,3.697943773200893e-37,1.942113488243222e-17,3.153629795415264e-14,3.370140584755515e-86,2.4300185270043524e-38,6.820075761838194e-35,1.0765707267376168e-48,1.145563052735176e-134,8.949346462478168e-90,2.0720735866905796e-98,7.882399281912507e-37,3.468726907811108e-19,5.920947511104702e-37
ATMi0 - S2,2.755567031737199e-62,1.0,1.084292203008071e-18,8.629263810123022e-44,5.811808996051615e-36,1.2226997727726476e-14,5.590440793373059e-06,1.171458517329285e-08,6.631101554458277e-15,0.009895509856752447,0.06567800998388185,5.7148864293273426e-08,3.587062345904058e-19,9.50907565249235e-11,1.412061260160162e-20
ATMi0 - S3,3.697943773200893e-37,1.084292203008071e-18,1.0,1.47471015470155e-12,7.060956361517141e-08,1.751569879440454e-05,2.9604368881684198e-05,0.002128630425534761,0.0176998150021491,8.83329866673516e-49,1.4189616853274315e-31,3.9554404125574466e-13,0.5771685397680872,0.2800804592349033,0.6567792823015428
ATMi1 - S1,1.942113488243222e-17,8.629263810123022e-44,1.47471015470155e-12,1.0,0.5460307019612789,2.169934209681616e-45,7.023229325981032e-20,2.7146908368452747e-16,9.915058465470119e-21,1.1366332447117783e-104,1.5211145806041637e-66,8.654053870032148e-59,1.346912381860676e-12,2.6473509077454387e-07,2.9078257755139354e-12
ATMi1 - S2,3.153629795415264e-14,5.811808996051615e-36,7.060956361517141e-08,0.5460307019612789,1.0,2.129621972861062e-27,5.41962152352821e-16,8.556474743788914e-13,1.6940936349600024e-14,1.0932947220844494e-84,5.165876804032388e-56,2.7339888671737893e-40,9.613592838689815e-09,6.45125047269847e-06,1.3065454216119539e-08
ATMi1 - S3,3.370140584755515e-86,1.2226997727726476e-14,1.751569879440454e-05,2.169934209681616e-45,2.129621972861062e-27,1.0,0.04246387043677687,0.5503757607416837,0.21720154748726592,1.4673959671735922e-43,3.428920541248552e-27,4.2856232405084446e-05,0.0008934672902752675,0.2088207512182037,0.0004889883812293511
ATMi2 - S1,2.4300185270043524e-38,5.590440793373059e-06,2.9604368881684198e-05,7.023229325981032e-20,5.41962152352821e-16,0.04246387043677687,1.0,0.24432273510847247,0.00792144317384746,1.2898943760075219e-17,9.959376817656891e-13,0.6468770653687553,6.451078993099756e-05,0.012550661784015543,2.562073752756173e-05
ATMi2 - S2,6.820075761838194e-35,1.171458517329285e-08,0.002128630425534761,2.7146908368452747e-16,8.556474743788914e-13,0.5503757607416837,0.24432273510847247,1.0,0.1717339929516139,5.0484483870103636e-24,3.148645050446983e-17,0.04486997554251547,0.005498756032979952,0.14341237722108188,0.0031602550506330206
ATMi2 - S3,1.0765707267376168e-48,6.631101554458277e-15,0.0176998150021491,9.915058465470119e-21,1.6940936349600024e-14,0.21720154748726592,0.00792144317384746,0.1717339929516139,1.0,4.1056739753363443e-41,1.873687233839469e-27,6.149400402295343e-06,0.07299932863472255,0.6419057612502548,0.05162570758806498
ATMi3 - S1,1.145563052735176e-134,0.009895509856752447,8.83329866673516e-49,1.1366332447117783e-104,1.0932947220844494e-84,1.4673959671735922e-43,1.2898943760075219e-17,5.0484483870103636e-24,4.1056739753363443e-41,1.0,0.5630501729116377,5.9264398773754964e-27,6.009193312735591e-50,1.1074153693790887e-26,2.397158245252109e-53
ATMi3 - S2,8.949346462478168e-90,0.06567800998388185,1.4189616853274315e-31,1.5211145806041637e-66,5.165876804032388e-56,3.428920541248552e-27,9.959376817656891e-13,3.148645050446983e-17,1.873687233839469e-27,0.5630501729116377,1.0,3.569498988347824e-17,9.563674918207185e-34,2.427174714416616e-20,2.2929651619529638e-36
ATMi3 - S3,2.0720735866905796e-98,5.7148864293273426e-08,3.9554404125574466e-13,8.654053870032148e-59,2.7339888671737893e-40,4.2856232405084446e-05,0.6468770653687553,0.04486997554251547,6.149400402295343e-06,5.9264398773754964e-27,3.569498988347824e-17,1.0,1.193370444736961e-10,0.0004859209839267001,2.598782832565175e-11
ATMi4 - S1,7.882399281912507e-37,3.587062345904058e-19,0.5771685397680872,1.346912381860676e-12,9.613592838689815e-09,0.0008934672902752675,6.451078993099756e-05,0.005498756032979952,0.07299932863472255,6.009193312735591e-50,9.563674918207185e-34,1.193370444736961e-10,1.0,0.4391243718049065,0.9047856202112907
ATMi4 - S2,3.468726907811108e-19,9.50907565249235e-11,0.2800804592349033,2.6473509077454387e-07,6.45125047269847e-06,0.2088207512182037,0.012550661784015543,0.14341237722108188,0.6419057612502548,1.1074153693790887e-26,2.427174714416616e-20,0.0004859209839267001,0.4391243718049065,1.0,0.37657581267128093
ATMi4 - S3,5.920947511104702e-37,1.412061260160162e-20,0.6567792823015428,2.9078257755139354e-12,1.3065454216119539e-08,0.0004889883812293511,2.562073752756173e-05,0.0031602550506330206,0.05162570758806498,2.397158245252109e-53,2.2929651619529638e-36,2.598782832565175e-11,0.9047856202112907,0.37657581267128093,1.0
