Compared Sample,704* - S1,704* - S2,704* - S3,AT* - S1,AT* - S2,AT* - S3,GC* - S1,GC* - S2,GC* - S3,400* - S1,400* - S2,400* - S3,1500* - S1,1500* - S2,1500* - S3,ATMi0 - S1,ATMi0 - S2,ATMi0 - S3,ATMi1 - S1,ATMi1 - S2,ATMi1 - S3,ATMi2 - S1,ATMi2 - S2,ATMi2 - S3,ATMi3 - S1,ATMi3 - S2,ATMi3 - S3,ATMi4 - S1,ATMi4 - S2,ATMi4 - S3
704* - S1,1.0,5.87275574004322e-35,8.875464822097658e-17,1.5097803914081953e-38,1.3967728082391013e-18,2.0637469535378054e-39,3.3254011313554887e-34,2.371927618892194e-129,7.765773897039756e-89,0.00044701578265369363,7.250317566162618e-05,6.345039139025719e-17,7.612716782034082e-31,1.0814466782648347e-82,6.788689439999337e-173,0.0,3.0113308448752005e-59,0.0,0.0,0.0,0.0,5.427712988501961e-141,2.0120631034458453e-174,1.742e-319,2.3600578367257464e-61,3.7018657557483884e-49,4.413288403763037e-301,0.0,9.510110643040047e-152,0.0
704* - S2,5.87275574004322e-35,1.0,1.8858573845051265e-56,0.3740309439127062,8.83930086691593e-06,0.6483048072617741,1.4800232921730415e-128,3.796532655e-314,4.0976228980945636e-237,9.65609935928314e-58,1.535637728303797e-10,4.157998675729263e-05,3.539550337099683e-17,2.996319589261289e-42,1.1737216314668887e-85,0.0,2.2195480007628164e-124,0.0,0.0,0.0,0.0,9.79567220864748e-253,7.802986767844382e-306,0.0,4.211085893838306e-148,1.425340467534389e-113,0.0,0.0,1.0537018658849638e-255,0.0
704* - S3,8.875464822097658e-17,1.8858573845051265e-56,1.0,1.7312055422007298e-53,3.1546602492069105e-39,3.4677444913222464e-54,0.759613057249838,1.1794394437545564e-08,0.00015449959631943372,9.449655148894366e-10,2.868554321987688e-24,8.546891668366977e-40,3.078637383794682e-45,1.2894682235031445e-106,1.1464609371642782e-176,8.130460135878264e-134,3.1924752594301173e-09,2.988883809560296e-60,3.138670687169e-110,4.033569321482278e-94,3.448065838052082e-59,1.4542449693623702e-31,4.831270421360927e-39,1.486521823942834e-57,7.438195761718127e-06,4.076208349342902e-06,3.4158177929855225e-44,2.695928324777916e-66,5.158298303253501e-42,2.2466456899778674e-71
AT* - S1,1.5097803914081953e-38,0.3740309439127062,1.7312055422007298e-53,1.0,1.0491661529510134e-05,0.6039995557490345,3.7429992946486296e-160,0.0,5.090405495730887e-309,4.669127191654766e-67,5.939230633460605e-10,0.0001359946845874744,2.3516281392719743e-16,5.779956321865149e-42,3.378828256369002e-92,0.0,3.928476600109864e-125,0.0,0.0,0.0,0.0,6.706927939424411e-256,4.7974253e-317,0.0,5.628830640470405e-152,2.104679029555019e-110,0.0,0.0,5.466214073721617e-251,0.0
AT* - S2,1.3967728082391013e-18,8.83930086691593e-06,3.1546602492069105e-39,1.0491661529510134e-05,1.0,2.0337986183045356e-06,6.591157933447954e-107,4.712456831551544e-308,8.983710585564493e-218,2.2586068388249324e-37,0.002166160231431592,0.9444598380157205,5.594544034513445e-19,1.0753591591075508e-49,1.4246850336290531e-108,0.0,1.2951225280632974e-99,0.0,0.0,0.0,0.0,8.913539072067628e-211,5.243458537728886e-261,0.0,8.13059502173411e-117,8.781244975846581e-87,0.0,0.0,2.8884033921577676e-211,0.0
AT* - S3,2.0637469535378054e-39,0.6483048072617741,3.4677444913222464e-54,0.6039995557490345,2.0337986183045356e-06,1.0,1.1865454977976807e-157,0.0,4.501383658110494e-301,1.838075583557249e-67,1.2910988623266989e-10,3.29840303909349e-05,5.855686752901808e-16,1.2219815548867401e-40,1.8368183586333768e-88,0.0,4.4799101805731904e-125,0.0,0.0,0.0,0.0,7.091432291142409e-255,6.947754425e-315,0.0,6.133406661974815e-152,6.6092868217871276e-111,0.0,0.0,1.795828944272283e-250,0.0
GC* - S1,3.3254011313554887e-34,1.4800232921730415e-128,0.759613057249838,3.7429992946486296e-160,6.591157933447954e-107,1.1865454977976807e-157,1.0,1.8390391347104047e-24,2.437708216937808e-11,2.3163586719223965e-19,3.906137103002957e-44,3.848442207448057e-93,2.8095289551017846e-40,5.0521144799493125e-115,1.947008720869821e-252,0.0,1.5618928823862797e-14,1.38354605734982e-165,0.0,3.156855888272473e-248,9.883419341006445e-179,7.009761577735916e-50,1.891979826088248e-65,5.220682207228609e-130,7.029657807558292e-10,6.34972996205321e-09,6.784651044776258e-110,4.265557569069731e-147,1.0284744244298984e-59,2.2669610130427845e-152
GC* - S2,2.371927618892194e-129,3.796532655e-314,1.1794394437545564e-08,0.0,4.712456831551544e-308,0.0,1.8390391347104047e-24,1.0,0.0006396731288175715,1.6811470103274223e-96,3.5524794390116878e-127,1.358049363216743e-254,1.3098338998272863e-58,1.0532689642124224e-175,0.0,2.1304895422216458e-269,0.02938892329674149,4.698272803179139e-93,1.8087002452856345e-248,4.7101727357392305e-160,9.52279288344412e-89,6.735911407840535e-19,1.109921698501191e-27,8.039963728205014e-63,0.31866236528294056,0.8501059523275372,1.5969742550388317e-42,2.139146174632211e-76,8.541458061105141e-28,9.127395908648594e-79
GC* - S3,7.765773897039756e-89,4.0976228980945636e-237,0.00015449959631943372,5.090405495730887e-309,8.983710585564493e-218,4.501383658110494e-301,2.437708216937808e-11,0.0006396731288175715,1.0,1.8987883246901935e-62,4.0248880821616136e-94,3.886541690606804e-186,9.843605141891423e-54,6.1532551643808295e-158,0.0,9.182993482225567e-290,6.869431465184108e-05,1.5802861653667748e-111,4.066104264843432e-269,3.108765942377168e-182,3.902144787743735e-111,1.8391245457506307e-27,2.5217871265199385e-38,3.276541988222179e-81,0.1793128617301428,0.07821763021641781,3.565310016063555e-60,5.805005542121168e-96,3.6038822779257664e-37,2.3891796177824536e-99
400* - S1,0.00044701578265369363,9.65609935928314e-58,9.449655148894366e-10,4.669127191654766e-67,2.2586068388249324e-37,1.838075583557249e-67,2.3163586719223965e-19,1.6811470103274223e-96,1.8987883246901935e-62,1.0,3.8547072970988634e-12,2.2718472610072035e-33,1.97977364356029e-34,1.7792396164115017e-94,2.0418509729787578e-201,0.0,8.368819271263112e-45,3.06e-322,0.0,0.0,0.0,3.1886303088922038e-114,3.0862813092715474e-143,2.4584684679969644e-269,1.6039746174653124e-43,2.916323421875629e-35,2.6220256611324203e-249,7.030302688452202e-295,3.083179477431047e-125,7.730888763941336e-306
400* - S2,7.250317566162618e-05,1.535637728303797e-10,2.868554321987688e-24,5.939230633460605e-10,0.002166160231431592,1.2910988623266989e-10,3.906137103002957e-44,3.5524794390116878e-127,4.0248880821616136e-94,3.8547072970988634e-12,1.0,0.0025923685675179066,1.2399196745354285e-22,9.306978552655339e-57,2.512604717411281e-110,0.0,2.7897832043522983e-65,2.40606e-318,0.0,0.0,0.0,2.727739957276832e-144,6.092253987835141e-174,2.420931202706485e-292,5.241318146536366e-71,5.028689254326094e-58,1.3221257569063498e-275,5.07671364e-316,6.799746406905852e-155,0.0
400* - S3,6.345039139025719e-17,4.157998675729263e-05,8.546891668366977e-40,0.0001359946845874744,0.9444598380157205,3.29840303909349e-05,3.848442207448057e-93,1.358049363216743e-254,3.886541690606804e-186,2.2718472610072035e-33,0.0025923685675179066,1.0,3.9658814545378556e-20,1.1743096770682966e-51,4.946203840617732e-108,0.0,1.3194101064805322e-98,0.0,0.0,0.0,0.0,1.1969923797590274e-208,3.926629867794437e-255,0.0,4.630177868582955e-114,2.110645756027057e-87,0.0,0.0,4.222574258146177e-213,0.0
