Compared Sample,ATMi0 - S1,ATMi0 - S2,ATMi0 - S3,ATMi1 - S1,ATMi1 - S2,ATMi1 - S3,ATMi2 - S1,ATMi2 - S2,ATMi2 - S3,ATMi3 - S1,ATMi3 - S2,ATMi3 - S3,ATMi4 - S1,ATMi4 - S2,ATMi4 - S3
ATMi0 - S1,1.0,2.3779174225014427e-102,1.0086248797778906e-170,1.5678954437370368e-296,0.0,0.0,7.791268426034439e-267,3.728451040688519e-253,1.3438658211004064e-224,1.3835135876804314e-166,2.370837455385906e-162,4.660952515645983e-39,1.8947057840624555e-126,9.483248327198559e-122,1.522448913414025e-220
ATMi0 - S2,2.3779174225014427e-102,1.0,1.6307642544317717e-14,1.2625169493464855e-12,0.0005714659841817944,0.0022348142258820677,3.265276211592634e-07,0.0034189697725412684,2.059666541776008e-05,0.9631273013188207,0.0023411988917898213,5.977771815751728e-50,2.5362184171321247e-17,0.09158742205103987,4.673206980963757e-06
ATMi0 - S3,1.0086248797778906e-170,1.6307642544317717e-14,1.0,0.04175464480397087,1.9716533481908806e-17,1.2685731489384567e-24,4.349155560231594e-66,8.606377028935257e-50,2.383133606162142e-09,3.8918689482168155e-22,5.881337490008995e-35,1.013028197057792e-43,0.0853463033464267,1.1916734121357732e-11,4.991118939834586e-08
ATMi1 - S1,1.5678954437370368e-296,1.2625169493464855e-12,0.04175464480397087,1.0,1.6962254742933046e-16,9.765418258865936e-27,1.3925488338189595e-66,1.1358119292387462e-49,2.883007429848439e-07,3.730830552732877e-20,4.661591422136921e-33,5.178705981392509e-78,0.0001148056103527733,1.0430370106516097e-09,6.055516714366584e-06
ATMi1 - S2,0.0,0.0005714659841817944,1.9716533481908806e-17,1.6962254742933046e-16,1.0,0.3085424743072072,3.962049422110801e-33,2.4401121991360945e-20,0.08505509019117118,1.5058752507925852e-05,3.757917300222518e-15,1.232001450395127e-115,4.494813424430889e-22,0.08991231265554969,0.02005420192662317
ATMi1 - S3,0.0,0.0022348142258820677,1.2685731489384567e-24,9.765418258865936e-27,0.3085424743072072,1.0,3.1617681233349275e-32,2.7761125896101544e-19,0.006060694018668435,0.00010251780327979528,4.012366696104171e-14,5.019007660400529e-148,1.4074120931119344e-29,0.23444855499073416,0.0006557529568866883
ATMi2 - S1,7.791268426034439e-267,3.265276211592634e-07,4.349155560231594e-66,1.3925488338189595e-66,3.962049422110801e-33,3.1617681233349275e-32,1.0,0.005420580578952578,2.6819916830831893e-36,1.2601758729208085e-09,0.05788836358481726,4.878539273393369e-151,5.379380010924957e-71,8.840961705244097e-15,9.796570200706943e-39
ATMi2 - S2,3.728451040688519e-253,0.0034189697725412684,8.606377028935257e-50,1.1358119292387462e-49,2.4401121991360945e-20,2.7761125896101544e-19,0.005420580578952578,1.0,1.9948080944754155e-23,0.00038754405339204353,0.6127238690687717,8.495423542135798e-133,1.241744777181754e-54,6.964893984887712e-08,1.792585803292255e-25
ATMi2 - S3,1.3438658211004064e-224,2.059666541776008e-05,2.383133606162142e-09,2.883007429848439e-07,0.08505509019117118,0.006060694018668435,2.6819916830831893e-36,1.9948080944754155e-23,1.0,1.3374690261972573e-07,9.830934733264843e-18,1.5374819795439452e-79,4.733773198225393e-13,0.006707968298887077,0.5929582262881408
ATMi3 - S1,1.3835135876804314e-166,0.9631273013188207,3.8918689482168155e-22,3.730830552732877e-20,1.5058752507925852e-05,0.00010251780327979528,1.2601758729208085e-09,0.00038754405339204353,1.3374690261972573e-07,1.0,0.00041158779048377803,7.664801047260525e-79,4.937684743412943e-26,0.055344071769476165,1.3166807681859803e-08
ATMi3 - S2,2.370837455385906e-162,0.0023411988917898213,5.881337490008995e-35,4.661591422136921e-33,3.757917300222518e-15,4.012366696104171e-14,0.05788836358481726,0.6127238690687717,9.830934733264843e-18,0.00041158779048377803,1.0,6.424011359149088e-89,5.511234288493451e-39,2.638507597719535e-07,4.211184432381964e-19
ATMi3 - S3,4.660952515645983e-39,5.977771815751728e-50,1.013028197057792e-43,5.178705981392509e-78,1.232001450395127e-115,5.019007660400529e-148,4.878539273393369e-151,8.495423542135798e-133,1.5374819795439452e-79,7.664801047260525e-79,6.424011359149088e-89,1.0,3.4914470203416914e-29,1.8388266521782718e-53,3.0856833801813385e-76
ATMi4 - S1,1.8947057840624555e-126,2.5362184171321247e-17,0.0853463033464267,0.0001148056103527733,4.494813424430889e-22,1.4074120931119344e-29,5.379380010924957e-71,1.241744777181754e-54,4.733773198225393e-13,4.937684743412943e-26,5.511234288493451e-39,3.4914470203416914e-29,1.0,1.2632216970680328e-14,1.4478801399484793e-11
ATMi4 - S2,9.483248327198559e-122,0.09158742205103987,1.1916734121357732e-11,1.0430370106516097e-09,0.08991231265554969,0.23444855499073416,8.840961705244097e-15,6.964893984887712e-08,0.006707968298887077,0.055344071769476165,2.638507597719535e-07,1.8388266521782718e-53,1.2632216970680328e-14,1.0,0.0020083390809166836
ATMi4 - S3,1.522448913414025e-220,4.673206980963757e-06,4.991118939834586e-08,6.055516714366584e-06,0.02005420192662317,0.0006557529568866883,9.796570200706943e-39,1.792585803292255e-25,0.5929582262881408,1.3166807681859803e-08,4.211184432381964e-19,3.0856833801813385e-76,1.4478801399484793e-11,0.0020083390809166836,1.0
