Compared Sample,704* - S1,704* - S2,704* - S3,AT* - S1,AT* - S2,AT* - S3,GC* - S1,GC* - S2,GC* - S3,400* - S1,400* - S2,400* - S3,1500* - S1,1500* - S2,1500* - S3,ATMi0 - S1,ATMi0 - S2,ATMi0 - S3,ATMi1 - S1,ATMi1 - S2,ATMi1 - S3,ATMi2 - S1,ATMi2 - S2,ATMi2 - S3,ATMi3 - S1,ATMi3 - S2,ATMi3 - S3,ATMi4 - S1,ATMi4 - S2,ATMi4 - S3
704* - S1,1.0,0.2475546465305323,0.10084540004984911,5.407350912129152e-131,2.304601287946162e-120,4.5759002309373884e-104,8.674149546755351e-66,4.797923607432924e-142,7.630490603545766e-92,1.2981092568001657e-22,1.6805429999318688e-19,2.484644734804133e-43,2.7118454051650654e-06,1.7507150958985808e-16,8.733545361648094e-12,6.320840281263623e-176,0.00017252698188756298,7.297641049044945e-09,7.94386533288733e-07,0.3444595625777983,0.07839472333512122,4.319103776924491e-30,8.622967072741737e-19,0.6051624597078967,5.585876377658518e-06,4.9773744076380446e-15,9.834649330456642e-66,3.565030693440145e-12,0.02951288420893923,0.31970365413209667
704* - S2,0.2475546465305323,1.0,0.016255379137974344,1.7497457060327487e-110,3.0525150167521994e-102,4.891561825726235e-87,7.237691841340988e-72,8.968478663979419e-149,1.6671504636917235e-98,5.1601869727244e-17,2.327200472202335e-15,5.349719883534652e-35,7.779252795605647e-06,6.148013602610307e-15,9.277903146701193e-10,1.3741922991616845e-149,6.085986028514158e-06,1.7302281941112565e-05,0.0010096876881370528,0.023081216720193583,0.001752256730900259,3.091452912967026e-34,2.175817992774886e-22,0.44629685179542034,4.9152236033152577e-08,8.652691238253305e-18,5.493144062071764e-53,3.5971667901453354e-08,0.002042715628290866,0.7616676375240514
704* - S3,0.10084540004984911,0.016255379137974344,1.0,3.598500360609204e-61,6.009955346112083e-60,2.9304937401134395e-51,8.98389985445637e-22,1.0309454247051228e-42,1.6081881716817718e-28,7.009836390867638e-16,6.34335671258755e-16,4.277129012090437e-27,4.696768924735257e-07,2.4802013268073717e-17,3.750215841530237e-12,2.23372600373534e-76,0.10419753570949757,1.3491559524978607e-07,4.094308475612052e-06,0.23590557365196335,0.4432315900173637,1.2519082026832604e-11,2.495188526804196e-06,0.04210534626462845,0.07476552476498649,3.315150738238746e-06,3.967100850273539e-34,1.194388872761597e-09,0.8878327209792202,0.019534679424350266
AT* - S1,5.407350912129152e-131,1.7497457060327487e-110,3.598500360609204e-61,1.0,0.7571897466107274,0.009041919070936624,0.0,0.0,0.0,4.648032983671778e-43,3.448469372961337e-21,1.5965383219090124e-17,0.4229951165483984,0.42106935234658016,2.1800173395331137e-07,0.00010851618189407119,1.714480009828574e-83,1.4797387136524027e-114,1.0852682271720638e-191,4.610223836490084e-227,1.8286286226518904e-286,6.4662202715743896e-223,1.4525738808799045e-206,1.379622288228321e-162,3.0165356005316657e-133,1.0082470635460572e-135,2.1134222189720073e-18,2.7966692289447886e-84,3.772762826054194e-96,1.1914827562119756e-158
AT* - S2,2.304601287946162e-120,3.0525150167521994e-102,6.009955346112083e-60,0.7571897466107274,1.0,0.0065416324613544585,0.0,0.0,0.0,4.660103022902993e-40,1.0546024075262096e-20,8.725763853729885e-17,0.44937012196725956,0.47384272887793855,1.573357296896686e-07,0.0013153218847294687,2.2077118663686575e-81,8.312539678313421e-101,1.3994644996389813e-157,7.37997836983249e-196,2.0610558576053022e-239,3.1837017063186986e-211,5.877229750530336e-194,5.8866133386494435e-145,1.5949367864486717e-126,3.617851768088166e-131,4.954201862379338e-17,7.282862606262842e-76,3.40960760581885e-92,3.3551911702565793e-141
AT* - S3,4.5759002309373884e-104,4.891561825726235e-87,2.9304937401134395e-51,0.009041919070936624,0.0065416324613544585,1.0,0.0,0.0,0.0,3.5001898424248374e-29,3.083248128155373e-14,6.861489789198405e-10,0.24905933989239007,0.13842405259210766,4.958062428421284e-05,9.812774597360643e-11,4.051361724508036e-71,1.087704868240336e-83,5.025522088115591e-138,2.4800585092153045e-176,2.6765332278027556e-220,2.928665990698772e-194,9.480312470872631e-177,9.550104387184684e-127,5.543441242279162e-112,4.177763968315522e-118,4.525849562137017e-09,8.075780656763841e-61,8.258402742881093e-80,4.880536945954215e-123
GC* - S1,8.674149546755351e-66,7.237691841340988e-72,8.98389985445637e-22,0.0,0.0,0.0,1.0,6.194801838557614e-10,0.04822018012515941,3.605116428803565e-167,9.802278228864859e-121,6.239861162013897e-215,1.0447364967653371e-14,3.483635742346936e-45,1.3443282853696827e-59,0.0,3.2116511913727436e-15,3.422753306465648e-147,1.1996033056599598e-167,3.2396591055171996e-84,1.296980845859261e-87,0.0058259989482371795,6.571334197659222e-10,3.1406865108357472e-84,1.410755253902739e-22,6.506898483880229e-06,1.0906683041324196e-306,1.9193187626422835e-149,1.82970000986106e-30,1.820795625067958e-89
GC* - S2,4.797923607432924e-142,8.968478663979419e-149,1.0309454247051228e-42,0.0,0.0,0.0,6.194801838557614e-10,1.0,5.7935914499198885e-06,4.372800769992634e-309,2.1194333488777793e-198,0.0,3.9233524145565336e-18,3.748557822719409e-58,2.4834438834656808e-87,0.0,9.762232258556573e-34,0.0,0.0,4.51051833076873e-212,9.145571742007943e-239,5.541965512088735e-15,7.169661036395881e-33,5.2136540836107055e-192,6.990275611711862e-54,7.16676787751113e-19,0.0,1.3846054421700871e-303,5.123695707068704e-64,9.701744951540512e-203
GC* - S3,7.630490603545766e-92,1.6671504636917235e-98,1.6081881716817718e-28,0.0,0.0,0.0,0.04822018012515941,5.7935914499198885e-06,1.0,1.5950517033869588e-220,1.1966672029562352e-149,4.271953352476084e-277,7.536534240712818e-16,1.1081808406465714e-49,2.1602134417676819e-69,0.0,5.8399744580781105e-21,6.627365148093968e-209,6.902112765835602e-256,4.212302172306263e-127,2.542847951217393e-137,7.87523206166999e-06,2.349641008735166e-16,2.8732832854218357e-121,2.2108429918179257e-32,1.7326445571773733e-09,0.0,7.028132120113447e-206,2.1109101085041803e-41,1.3440193873013534e-128
400* - S1,1.2981092568001657e-22,5.1601869727244e-17,7.009836390867638e-16,4.648032983671778e-43,4.660103022902993e-40,3.5001898424248374e-29,3.605116428803565e-167,4.372800769992634e-309,1.5950517033869588e-220,1.0,0.28975634769208897,1.628816717214988e-05,0.003369274567338032,1.0630134099004152e-06,0.13926693220719355,2.583237939668778e-68,1.4883443006487658e-25,6.532635283204154e-08,9.739514174943867e-15,1.0795781366413301e-36,6.992425091521369e-46,1.1137315404409167e-86,7.923916811558882e-70,8.73499366755377e-25,1.2239667905777445e-37,8.874401425734322e-51,2.4030189962070204e-10,0.00025979498183055575,1.3248346932073226e-23,6.492258508265885e-23
400* - S2,1.6805429999318688e-19,2.327200472202335e-15,6.34335671258755e-16,3.448469372961337e-21,1.0546024075262096e-20,3.083248128155373e-14,9.802278228864859e-121,2.1194333488777793e-198,1.1966672029562352e-149,0.28975634769208897,1.0,0.013545674119956599,0.007376570551573877,1.634113717259005e-05,0.47024930685087984,1.6534997092772176e-33,1.9476650601997595e-24,1.0372578851578336e-07,5.344393194313559e-12,2.3932981134102292e-27,4.1885720131978606e-32,7.951001128442981e-72,3.4979175546761453e-57,3.2169978268725544e-20,6.301005741095426e-33,1.3171887416003757e-45,0.00017734739633734706,6.638458897451013e-05,7.168473884500858e-22,7.775674593380779e-19
400* - S3,2.484644734804133e-43,5.349719883534652e-35,4.277129012090437e-27,1.5965383219090124e-17,8.725763853729885e-17,6.861489789198405e-10,6.239861162013897e-215,0.0,4.271953352476084e-277,1.628816717214988e-05,0.013545674119956599,1.0,0.03125249523808588,0.0007154343867138451,0.3775950207684735,8.999152219741551e-33,5.748918595519034e-40,4.3515107250997475e-24,2.2366537686796387e-38,5.810429044900503e-67,6.369512137630394e-81,7.998065631628094e-117,5.303568823902413e-99,1.059513063893101e-48,6.2881316413645225e-59,1.5656159567468764e-71,0.18780884138645268,2.4867960033903295e-16,4.008675236766327e-40,3.0150841309201962e-46
