Compared Sample,704* - S1,704* - S2,704* - S3,AT* - S1,AT* - S2,AT* - S3,GC* - S1,GC* - S2,GC* - S3,400* - S1,400* - S2,400* - S3,1500* - S1,1500* - S2,1500* - S3
704* - S1,1.0,0.2475546465305323,0.10084540004984911,5.407350912129152e-131,2.304601287946162e-120,4.5759002309373884e-104,8.674149546755351e-66,4.797923607432924e-142,7.630490603545766e-92,1.2981092568001657e-22,1.6805429999318688e-19,2.484644734804133e-43,2.7118454051650654e-06,1.7507150958985808e-16,8.733545361648094e-12
704* - S2,0.2475546465305323,1.0,0.016255379137974344,1.7497457060327487e-110,3.0525150167521994e-102,4.891561825726235e-87,7.237691841340988e-72,8.968478663979419e-149,1.6671504636917235e-98,5.1601869727244e-17,2.327200472202335e-15,5.349719883534652e-35,7.779252795605647e-06,6.148013602610307e-15,9.277903146701193e-10
704* - S3,0.10084540004984911,0.016255379137974344,1.0,3.598500360609204e-61,6.009955346112083e-60,2.9304937401134395e-51,8.98389985445637e-22,1.0309454247051228e-42,1.6081881716817718e-28,7.009836390867638e-16,6.34335671258755e-16,4.277129012090437e-27,4.696768924735257e-07,2.4802013268073717e-17,3.750215841530237e-12
AT* - S1,5.407350912129152e-131,1.7497457060327487e-110,3.598500360609204e-61,1.0,0.7571897466107274,0.009041919070936624,0.0,0.0,0.0,4.648032983671778e-43,3.448469372961337e-21,1.5965383219090124e-17,0.4229951165483984,0.42106935234658016,2.1800173395331137e-07
AT* - S2,2.304601287946162e-120,3.0525150167521994e-102,6.009955346112083e-60,0.7571897466107274,1.0,0.0065416324613544585,0.0,0.0,0.0,4.660103022902993e-40,1.0546024075262096e-20,8.725763853729885e-17,0.44937012196725956,0.47384272887793855,1.573357296896686e-07
AT* - S3,4.5759002309373884e-104,4.891561825726235e-87,2.9304937401134395e-51,0.009041919070936624,0.0065416324613544585,1.0,0.0,0.0,0.0,3.5001898424248374e-29,3.083248128155373e-14,6.861489789198405e-10,0.24905933989239007,0.13842405259210766,4.958062428421284e-05
GC* - S1,8.674149546755351e-66,7.237691841340988e-72,8.98389985445637e-22,0.0,0.0,0.0,1.0,6.194801838557614e-10,0.04822018012515941,3.605116428803565e-167,9.802278228864859e-121,6.239861162013897e-215,1.0447364967653371e-14,3.483635742346936e-45,1.3443282853696827e-59
GC* - S2,4.797923607432924e-142,8.968478663979419e-149,1.0309454247051228e-42,0.0,0.0,0.0,6.194801838557614e-10,1.0,5.7935914499198885e-06,4.372800769992634e-309,2.1194333488777793e-198,0.0,3.9233524145565336e-18,3.748557822719409e-58,2.4834438834656808e-87
GC* - S3,7.630490603545766e-92,1.6671504636917235e-98,1.6081881716817718e-28,0.0,0.0,0.0,0.04822018012515941,5.7935914499198885e-06,1.0,1.5950517033869588e-220,1.1966672029562352e-149,4.271953352476084e-277,7.536534240712818e-16,1.1081808406465714e-49,2.1602134417676819e-69
400* - S1,1.2981092568001657e-22,5.1601869727244e-17,7.009836390867638e-16,4.648032983671778e-43,4.660103022902993e-40,3.5001898424248374e-29,3.605116428803565e-167,4.372800769992634e-309,1.5950517033869588e-220,1.0,0.28975634769208897,1.628816717214988e-05,0.003369274567338032,1.0630134099004152e-06,0.13926693220719355
400* - S2,1.6805429999318688e-19,2.327200472202335e-15,6.34335671258755e-16,3.448469372961337e-21,1.0546024075262096e-20,3.083248128155373e-14,9.802278228864859e-121,2.1194333488777793e-198,1.1966672029562352e-149,0.28975634769208897,1.0,0.013545674119956599,0.007376570551573877,1.634113717259005e-05,0.47024930685087984
400* - S3,2.484644734804133e-43,5.349719883534652e-35,4.277129012090437e-27,1.5965383219090124e-17,8.725763853729885e-17,6.861489789198405e-10,6.239861162013897e-215,0.0,4.271953352476084e-277,1.628816717214988e-05,0.013545674119956599,1.0,0.03125249523808588,0.0007154343867138451,0.3775950207684735
1500* - S1,2.7118454051650654e-06,7.779252795605647e-06,4.696768924735257e-07,0.4229951165483984,0.44937012196725956,0.24905933989239007,1.0447364967653371e-14,3.9233524145565336e-18,7.536534240712818e-16,0.003369274567338032,0.007376570551573877,0.03125249523808588,1.0,0.7307427446113601,0.018367645607536155
1500* - S2,1.7507150958985808e-16,6.148013602610307e-15,2.4802013268073717e-17,0.42106935234658016,0.47384272887793855,0.13842405259210766,3.483635742346936e-45,3.748557822719409e-58,1.1081808406465714e-49,1.0630134099004152e-06,1.634113717259005e-05,0.0007154343867138451,0.7307427446113601,1.0,0.0004843890762046615
1500* - S3,8.733545361648094e-12,9.277903146701193e-10,3.750215841530237e-12,2.1800173395331137e-07,1.573357296896686e-07,4.958062428421284e-05,1.3443282853696827e-59,2.4834438834656808e-87,2.1602134417676819e-69,0.13926693220719355,0.47024930685087984,0.3775950207684735,0.018367645607536155,0.0004843890762046615,1.0
