Fragment length, Fraction of reads
1,6.039996859201633e-06
2,1.2079993718403266e-05
3,1.81199905776049e-05
4,1.2079993718403266e-05
5,1.81199905776049e-05
6,2.4159987436806533e-05
7,6.039996859201633e-06
8,6.039996859201633e-06
9,1.2079993718403266e-05
10,6.039996859201633e-06
12,6.039996859201633e-06
16,6.039996859201633e-06
17,6.039996859201633e-06
21,1.81199905776049e-05
23,6.039996859201633e-06
27,6.039996859201633e-06
29,6.039996859201633e-06
35,6.039996859201633e-06
41,6.039996859201633e-06
44,6.039996859201633e-06
61,6.039996859201633e-06
63,6.039996859201633e-06
65,6.039996859201633e-06
66,1.2079993718403266e-05
68,6.039996859201633e-06
70,6.039996859201633e-06
74,1.2079993718403266e-05
75,2.4159987436806533e-05
76,1.81199905776049e-05
77,2.4159987436806533e-05
78,2.4159987436806533e-05
79,2.4159987436806533e-05
80,1.81199905776049e-05
81,1.81199905776049e-05
82,6.039996859201633e-06
83,1.81199905776049e-05
84,2.4159987436806533e-05
85,6.039996859201633e-06
86,3.62399811552098e-05
87,1.81199905776049e-05
88,6.039996859201633e-06
89,5.4359971732814697e-05
90,6.039996859201633e-06
91,1.2079993718403266e-05
92,1.2079993718403266e-05
93,6.039996859201633e-06
94,2.4159987436806533e-05
95,1.81199905776049e-05
96,4.2279978014411434e-05
97,3.62399811552098e-05
98,3.0199984296008167e-05
99,4.2279978014411434e-05
100,5.4359971732814697e-05
101,7.851995916962124e-05
102,4.2279978014411434e-05
103,6.643996545121796e-05
104,4.2279978014411434e-05
105,4.2279978014411434e-05
106,6.0399968592016335e-05
107,5.4359971732814697e-05
108,3.62399811552098e-05
109,9.663994974722613e-05
110,4.8319974873613065e-05
111,9.663994974722613e-05
112,7.24799623104196e-05
113,0.00016911991205764573
114,0.0001268399340432343
115,6.0399968592016335e-05
116,7.24799623104196e-05
117,0.0001268399340432343
118,0.00016911991205764573
119,0.0001630799151984441
120,0.0001268399340432343
121,0.00015099992148004084
122,0.00010871994346562939
123,0.0001993198963536539
124,0.00016911991205764573
125,0.0001993198963536539
126,0.00021139989007205715
127,0.00021139989007205715
128,0.00018723990263525063
129,0.00016911991205764573
130,0.00024763987122726694
131,0.00015099992148004084
132,0.00016911991205764573
133,0.00024763987122726694
134,0.00017515990891684737
135,0.00013891992776163755
136,0.00018723990263525063
137,0.00021743988693125879
138,0.0001993198963536539
139,0.00022951988064966205
140,0.0003080398398192833
141,0.00012079993718403267
142,0.0002536798680864686
143,0.00022347988379046042
144,0.00018723990263525063
145,0.00027179985866407347
146,0.0002536798680864686
147,0.00031407983667848494
148,0.0002597198649456702
149,0.0002536798680864686
150,0.00024159987436806534
151,0.00039259979584810615
152,0.0003805198021297029
153,0.00041071978642571105
154,0.0003201198335376866
155,0.00042883977700331594
156,0.00015099992148004084
157,0.00026575986180487184
158,0.0004590397612993241
159,0.00035031981783369473
160,0.00033823982411529147
161,0.00033219982725608984
162,0.00019327989949445226
163,0.00037447980527050126
164,0.0003080398398192833
165,0.000525479726750542
166,0.0005073597361729372
167,0.0002597198649456702
168,0.0006402396670753732
169,0.00035635981469289636
170,0.00039259979584810615
171,0.0003442798209744931
172,0.00039259979584810615
173,0.0004831997487361307
174,0.0002597198649456702
175,0.00033823982411529147
176,0.00033219982725608984
177,0.00033823982411529147
178,0.0003261598303968882
179,0.0003986397927073078
180,0.00022951988064966205
181,0.0002899198492416784
182,0.0004167597832849127
183,0.0003201198335376866
184,0.0004650797581585258
185,0.0005556797110465502
186,0.0003986397927073078
187,0.0003080398398192833
188,0.00027179985866407347
189,0.00033219982725608984
190,0.0004167597832849127
191,0.00041071978642571105
192,0.0005013197393137355
193,0.00045299976444012247
194,0.0003805198021297029
195,0.00033823982411529147
196,0.000362399811552098
197,0.00039259979584810615
198,0.0002778398555232751
199,0.0003019998429600817
200,0.0003261598303968882
201,0.0003442798209744931
202,0.000362399811552098
203,0.00042883977700331594
204,0.0005375597204689453
205,0.0002597198649456702
206,0.0004590397612993241
207,0.0003684398084112996
208,0.00035031981783369473
209,0.000362399811552098
210,0.0002778398555232751
211,0.00035635981469289636
212,0.00035635981469289636
213,0.0003986397927073078
214,0.0003442798209744931
215,0.0002597198649456702
216,0.0004590397612993241
217,0.0005194397298913404
218,0.00044695976758092084
219,0.0003019998429600817
220,0.000362399811552098
221,0.00042883977700331594
222,0.00039259979584810615
223,0.0005496397141873486
224,0.0003201198335376866
225,0.00024763987122726694
226,0.00035031981783369473
227,0.0003684398084112996
228,0.00026575986180487184
229,0.00024763987122726694
230,0.00013287993090243592
231,0.00017515990891684737
232,0.0002778398555232751
233,0.00027179985866407347
234,0.0002355598775088637
235,0.00021743988693125879
236,0.00033219982725608984
237,0.0003261598303968882
238,0.00035031981783369473
239,0.0002899198492416784
240,0.0002899198492416784
241,0.0002899198492416784
242,0.00021743988693125879
243,0.0002597198649456702
244,0.00031407983667848494
245,0.00026575986180487184
246,0.0002778398555232751
247,0.0003261598303968882
248,0.00015703991833924247
249,0.0002597198649456702
250,0.0001449599246208392
251,0.0001449599246208392
252,0.00024763987122726694
253,0.00017515990891684737
254,0.00016911991205764573
255,0.00022347988379046042
256,0.00024763987122726694
257,0.0001993198963536539
258,0.00024159987436806534
259,0.0002899198492416784
260,0.00029595984610088005
261,0.00018723990263525063
262,0.00019327989949445226
263,0.00035635981469289636
264,0.0001630799151984441
265,8.455995602882287e-05
266,0.0003080398398192833
267,0.00021743988693125879
268,7.851995916962124e-05
269,0.00015099992148004084
270,0.00011475994032483102
271,0.00015703991833924247
272,7.24799623104196e-05
273,9.05999528880245e-05
274,0.00019327989949445226
275,9.663994974722613e-05
276,9.663994974722613e-05
277,0.00015099992148004084
278,0.00010871994346562939
279,0.00015703991833924247
280,0.0001993198963536539
281,0.00010871994346562939
282,0.00018723990263525063
283,0.00011475994032483102
284,0.00010871994346562939
285,0.0001268399340432343
286,8.455995602882287e-05
287,0.00011475994032483102
288,9.663994974722613e-05
289,0.00026575986180487184
290,0.00010871994346562939
291,0.00010267994660642776
292,0.00015703991833924247
293,0.0001449599246208392
294,6.643996545121796e-05
295,0.00017515990891684737
296,0.00011475994032483102
297,0.0001449599246208392
298,0.00010871994346562939
299,0.00015703991833924247
300,0.00010267994660642776
301,0.00012079993718403267
302,0.00012079993718403267
303,7.24799623104196e-05
304,0.00013287993090243592
305,9.05999528880245e-05
306,8.455995602882287e-05
307,9.663994974722613e-05
308,0.0001449599246208392
309,0.00018723990263525063
310,0.00026575986180487184
311,0.00011475994032483102
312,0.0001268399340432343
