Fragment length, Fraction of reads
2,4.420703628660895e-05
3,2.2103518143304475e-05
4,1.4735678762202984e-05
5,2.9471357524405968e-05
6,4.420703628660895e-05
7,1.4735678762202984e-05
8,2.2103518143304475e-05
9,7.367839381101492e-06
10,7.367839381101492e-06
11,1.4735678762202984e-05
12,1.4735678762202984e-05
16,7.367839381101492e-06
22,7.367839381101492e-06
23,7.367839381101492e-06
27,7.367839381101492e-06
32,7.367839381101492e-06
38,7.367839381101492e-06
60,7.367839381101492e-06
63,7.367839381101492e-06
64,7.367839381101492e-06
70,2.2103518143304475e-05
72,7.367839381101492e-06
73,1.4735678762202984e-05
74,2.2103518143304475e-05
75,2.2103518143304475e-05
76,2.2103518143304475e-05
77,7.367839381101492e-06
78,1.4735678762202984e-05
79,1.4735678762202984e-05
80,7.367839381101492e-06
81,5.1574875667710446e-05
82,3.683919690550746e-05
83,2.9471357524405968e-05
84,7.367839381101492e-06
85,6.631055442991343e-05
86,1.4735678762202984e-05
87,7.367839381101492e-06
88,1.4735678762202984e-05
89,2.2103518143304475e-05
90,4.420703628660895e-05
91,2.2103518143304475e-05
92,2.2103518143304475e-05
93,3.683919690550746e-05
94,5.8942715048811935e-05
95,4.420703628660895e-05
96,5.1574875667710446e-05
97,4.420703628660895e-05
98,6.631055442991343e-05
99,8.84140725732179e-05
100,8.104623319211641e-05
101,8.84140725732179e-05
102,0.00013262110885982686
103,6.631055442991343e-05
104,2.9471357524405968e-05
105,0.00011788543009762387
106,0.00010314975133542089
107,0.00013262110885982686
108,0.00011051759071652238
109,0.00013262110885982686
110,0.00012525326947872536
111,7.367839381101492e-05
112,6.631055442991343e-05
113,0.00013998894824092834
114,0.00011788543009762387
115,9.578191195431939e-05
116,0.00013998894824092834
117,0.00021366734205194326
118,0.00019893166328974028
119,0.0002799778964818567
120,0.00010314975133542089
121,0.0001841959845275373
122,0.0001768281451464358
123,0.00019156382390863878
124,0.0002505065389574507
125,0.0001768281451464358
126,0.0002652422177196537
127,0.00020629950267084178
128,0.00016209246638423282
129,0.00027261005710075523
130,0.00014735678762202984
131,0.00014735678762202984
132,0.0001841959845275373
133,0.00023577086019524774
134,0.00022103518143304476
135,0.00019156382390863878
136,0.00019893166328974028
137,0.0002799778964818567
138,0.00033892061153066865
139,0.00023577086019524774
140,0.0004273346841038865
141,0.00032418493276846564
142,0.0005083809172960029
143,0.0002799778964818567
144,0.00019156382390863878
145,0.00019893166328974028
146,0.0003757598084361761
147,0.0002505065389574507
148,0.0003094492540062627
149,0.00024313869957634924
150,0.0004862773991526985
151,0.0004273346841038865
152,0.00044943820224719103
153,0.0004273346841038865
154,0.0005157487566771044
155,0.000419966844722785
156,0.000464173881009394
157,0.0003757598084361761
158,0.0005599557929637134
159,0.00041259900534168357
160,0.000434702523484988
161,0.00032418493276846564
162,0.0005967949898692209
163,0.000537852274820409
164,0.00044943820224719103
165,0.0009357156013998895
166,0.0006704733836802358
167,0.0005304844354393075
168,0.0006778412230613373
169,0.0006262663473936268
170,0.0005599557929637134
171,0.0004715417203904955
172,0.0005157487566771044
173,0.0006704733836802358
174,0.0006631055442991343
175,0.0006483698655369313
176,0.00038312764781727756
177,0.0007073125805857432
178,0.0009357156013998895
179,0.0008767728863510775
180,0.0003610241296739731
181,0.0005746914717259164
182,0.0006336341867747283
183,0.0006557377049180328
184,0.0006704733836802358
185,0.000523116596058206
186,0.0005525879535826119
187,0.00044943820224719103
188,0.0004862773991526985
189,0.0004273346841038865
190,0.0005820593111070179
191,0.0006188985080125254
192,0.0007073125805857432
193,0.0005673236323448149
