Compared Sample,ATMi0 - S1,ATMi0 - S2,ATMi0 - S3,ATMi1 - S1,ATMi1 - S2,ATMi1 - S3,ATMi2 - S1,ATMi2 - S2,ATMi2 - S3,ATMi3 - S1,ATMi3 - S2,ATMi3 - S3,ATMi4 - S1,ATMi4 - S2,ATMi4 - S3
ATMi0 - S1,1.0,8.216857173635934e-45,4.6556517121641726e-30,0.0,1.0357724566419102e-258,0.0,2.3907059661952884e-259,2.2600358007434478e-247,0.0,0.0,0.0,0.0,0.0,6.079790326644631e-281,0.0
ATMi0 - S2,8.216857173635934e-45,1.0,9.575505962386459e-14,2.173281655899835e-08,7.526957719558282e-06,3.5825959508388226e-44,2.851859411210407e-33,3.445488102807623e-25,6.649851927239769e-47,2.388044416508518e-111,5.857341614382999e-83,9.865652842748557e-73,1.4431628210240363e-50,3.683678710396505e-45,4.555489511288937e-69
ATMi0 - S3,4.6556517121641726e-30,9.575505962386459e-14,1.0,3.0967288962698062e-164,1.2319965278914796e-104,0.0,3.3160905825402534e-147,1.4509600976046417e-133,3.55564586093359e-298,0.0,7.73825217059328e-255,0.0,1.8976649e-316,3.93972704863312e-170,0.0
ATMi1 - S1,0.0,2.173281655899835e-08,3.0967288962698062e-164,1.0,0.10113066046500616,2.6246379847155164e-102,2.053081951992255e-31,4.3115260306916676e-21,5.132430591055296e-77,6.359909241280111e-183,7.598980626528022e-110,7.976558103887507e-172,1.1309525689528277e-97,1.4545759536904836e-51,6.070246256914595e-150
ATMi1 - S2,1.0357724566419102e-258,7.526957719558282e-06,1.2319965278914796e-104,0.10113066046500616,1.0,3.0475310595824107e-78,5.940652388980897e-31,2.2216552685944668e-21,9.035591859506087e-67,4.961392464999486e-162,2.6250586646863175e-101,2.4699033475505922e-136,1.7877718366585797e-81,6.8311457277340464e-49,1.8750265643707266e-122
ATMi1 - S3,0.0,3.5825959508388226e-44,0.0,2.6246379847155164e-102,3.0475310595824107e-78,1.0,0.40325614709702196,0.03981603993029449,0.028973840904521635,4.847915506505538e-62,8.541017537545683e-35,7.932474925277521e-21,1.837685153534224e-06,4.6577759749470006e-07,1.1876783775728997e-21
ATMi2 - S1,2.3907059661952884e-259,2.851859411210407e-33,3.3160905825402534e-147,2.053081951992255e-31,5.940652388980897e-31,0.40325614709702196,1.0,0.02858011373208353,0.5528318823451795,1.0892685299623748e-31,2.263165699402793e-20,2.586569360518155e-06,0.029580757757792408,0.0008568027467005038,2.902941485917387e-07
ATMi2 - S2,2.2600358007434478e-247,3.445488102807623e-25,1.4509600976046417e-133,4.3115260306916676e-21,2.2216552685944668e-21,0.03981603993029449,0.02858011373208353,1.0,0.0008887352853083214,7.088243979768913e-47,1.8137450924409424e-30,7.872677391130848e-15,1.131284102680856e-06,4.928145518806334e-08,1.171764875026403e-15
ATMi2 - S3,0.0,6.649851927239769e-47,3.55564586093359e-298,5.132430591055296e-77,9.035591859506087e-67,0.028973840904521635,0.5528318823451795,0.0008887352853083214,1.0,3.226259384722093e-43,4.396197530660912e-25,9.334831313279385e-09,0.02652809542778568,0.0005860439273287549,3.9586797416234586e-10
ATMi3 - S1,0.0,2.388044416508518e-111,0.0,6.359909241280111e-183,4.961392464999486e-162,4.847915506505538e-62,1.0892685299623748e-31,7.088243979768913e-47,3.226259384722093e-43,1.0,0.2256619105692475,3.9331592487956704e-23,3.222093022604733e-30,1.1911526715820698e-13,3.3358858845721285e-17
ATMi3 - S2,0.0,5.857341614382999e-83,7.73825217059328e-255,7.598980626528022e-110,2.6250586646863175e-101,8.541017537545683e-35,2.263165699402793e-20,1.8137450924409424e-30,4.396197530660912e-25,0.2256619105692475,1.0,4.406966763880773e-12,6.072915051734459e-17,3.2117397110946447e-08,5.7003507741777125e-09
ATMi3 - S3,0.0,9.865652842748557e-73,0.0,7.976558103887507e-172,2.4699033475505922e-136,7.932474925277521e-21,2.586569360518155e-06,7.872677391130848e-15,9.334831313279385e-09,3.9331592487956704e-23,4.406966763880773e-12,1.0,0.0014255139103306587,0.8160891734770565,0.2786548686170944
ATMi4 - S1,0.0,1.4431628210240363e-50,1.8976649e-316,1.1309525689528277e-97,1.7877718366585797e-81,1.837685153534224e-06,0.029580757757792408,1.131284102680856e-06,0.02652809542778568,3.222093022604733e-30,6.072915051734459e-17,0.0014255139103306587,1.0,0.07485664585804903,0.00010398510177908928
ATMi4 - S2,6.079790326644631e-281,3.683678710396505e-45,3.93972704863312e-170,1.4545759536904836e-51,6.8311457277340464e-49,4.6577759749470006e-07,0.0008568027467005038,4.928145518806334e-08,0.0005860439273287549,1.1911526715820698e-13,3.2117397110946447e-08,0.8160891734770565,0.07485664585804903,1.0,0.3688027119578873
ATMi4 - S3,0.0,4.555489511288937e-69,0.0,6.070246256914595e-150,1.8750265643707266e-122,1.1876783775728997e-21,2.902941485917387e-07,1.171764875026403e-15,3.9586797416234586e-10,3.3358858845721285e-17,5.7003507741777125e-09,0.2786548686170944,0.00010398510177908928,0.3688027119578873,1.0
