Compared Sample,ATMi0 - S1,ATMi0 - S2,ATMi0 - S3,ATMi1 - S1,ATMi1 - S2,ATMi1 - S3,ATMi2 - S1,ATMi2 - S2,ATMi2 - S3,ATMi3 - S1,ATMi3 - S2,ATMi3 - S3,ATMi4 - S1,ATMi4 - S2,ATMi4 - S3
ATMi0 - S1,1.0,1.085036390374805e-130,8.16191575605268e-168,1.1897503561282104e-88,1.1700101914351701e-82,3.2305077311226165e-111,1.094342024427784e-108,6.654923654577041e-67,1.1902736846097255e-33,1.1721464464350069e-35,7.25188213669247e-41,9.657171307287688e-12,0.4616570750587887,5.04283953521331e-25,3.2373263627682575e-20
ATMi0 - S2,1.085036390374805e-130,1.0,1.0266570058966983e-24,1.7323072231064405e-59,8.431012832777382e-46,1.4776971334137517e-44,0.00016723568503712813,1.6749591932172596e-17,2.9088509448789068e-58,9.580808186417739e-27,2.9808961255047415e-13,4.4051819797730045e-160,8.576012669274776e-110,1.8735355842587027e-26,3.5925114183971216e-67
ATMi0 - S3,8.16191575605268e-168,1.0266570058966983e-24,1.0,1.4959561887872506e-32,9.422664914572029e-14,1.7377813280302484e-12,3.162117392485501e-10,0.8422702016433846,7.742302489460573e-27,0.001047218047137339,0.7840031459649659,3.9522378883550804e-203,1.563519968743427e-98,0.0002191580479968656,4.320780902705334e-37
ATMi1 - S1,1.1897503561282104e-88,1.7323072231064405e-59,1.4959561887872506e-32,1.0,0.002593729597154707,2.778159466521184e-06,1.9462561647278773e-38,9.463934371045286e-13,0.027334299410887327,0.0033589923143424183,3.2422213915701196e-08,2.2871328098634555e-125,9.859201986017222e-44,0.07124293825256128,2.399901454708056e-06
ATMi1 - S2,1.1700101914351701e-82,8.431012832777382e-46,9.422664914572029e-14,0.002593729597154707,1.0,0.2902165590505125,7.762414516543262e-27,5.274146727395045e-07,2.6528332689239134e-05,0.22496657176919985,5.899243129116172e-05,9.481327286057586e-119,2.960454391307947e-48,0.744321669250622,1.5966203432090086e-10
ATMi1 - S3,3.2305077311226165e-111,1.4776971334137517e-44,1.7377813280302484e-12,2.778159466521184e-06,0.2902165590505125,1.0,1.6357328414954082e-25,5.827951423766146e-06,7.524349357233796e-08,0.522657581031206,0.00032524545605664036,8.047402384679149e-148,2.983929765660709e-60,0.8337212386319036,1.9624356212175842e-14
ATMi2 - S1,1.094342024427784e-108,0.00016723568503712813,3.162117392485501e-10,1.9462561647278773e-38,7.762414516543262e-27,1.6357328414954082e-25,1.0,6.671287695390098e-07,3.183420014889478e-38,9.176087246124716e-14,3.624673194043625e-05,7.329461107403027e-139,3.026276722797668e-87,3.9352607534342326e-14,2.0178286607960382e-46
ATMi2 - S2,6.654923654577041e-67,1.6749591932172596e-17,0.8422702016433846,9.463934371045286e-13,5.274146727395045e-07,5.827951423766146e-06,6.671287695390098e-07,1.0,1.6297390601076152e-14,0.004793032451294006,0.9179181385698904,1.4328598083769082e-94,2.15957773935145e-51,0.001125671077565024,2.889693061257178e-20
ATMi2 - S3,1.1902736846097255e-33,2.9088509448789068e-58,7.742302489460573e-27,0.027334299410887327,2.6528332689239134e-05,7.524349357233796e-08,3.183420014889478e-38,1.6297390601076152e-14,1.0,8.551606141350553e-05,4.805348545319826e-10,1.4451921922880734e-61,2.5725684094218353e-21,0.00468190796335909,0.03503742826131929
ATMi3 - S1,1.1721464464350069e-35,9.580808186417739e-27,0.001047218047137339,0.0033589923143424183,0.22496657176919985,0.522657581031206,9.176087246124716e-14,0.004793032451294006,8.551606141350553e-05,1.0,0.01238489160008776,6.355989953066496e-57,9.113177878577396e-28,0.5350103303482796,5.2807969646209124e-08
ATMi3 - S2,7.25188213669247e-41,2.9808961255047415e-13,0.7840031459649659,3.2422213915701196e-08,5.899243129116172e-05,0.00032524545605664036,3.624673194043625e-05,0.9179181385698904,4.805348545319826e-10,0.01238489160008776,1.0,6.54693223568982e-60,4.71685457770744e-34,0.003466609010585725,6.430529835259865e-14
ATMi3 - S3,9.657171307287688e-12,4.4051819797730045e-160,3.9522378883550804e-203,2.2871328098634555e-125,9.481327286057586e-119,8.047402384679149e-148,7.329461107403027e-139,1.4328598083769082e-94,1.4451921922880734e-61,6.355989953066496e-57,6.54693223568982e-60,1.0,4.848423584267816e-10,6.287152400384476e-42,1.1783952923640867e-43
ATMi4 - S1,0.4616570750587887,8.576012669274776e-110,1.563519968743427e-98,9.859201986017222e-44,2.960454391307947e-48,2.983929765660709e-60,3.026276722797668e-87,2.15957773935145e-51,2.5725684094218353e-21,9.113177878577396e-28,4.71685457770744e-34,4.848423584267816e-10,1.0,4.2301075766117e-20,7.538113532931189e-13
ATMi4 - S2,5.04283953521331e-25,1.8735355842587027e-26,0.0002191580479968656,0.07124293825256128,0.744321669250622,0.8337212386319036,3.9352607534342326e-14,0.001125671077565024,0.00468190796335909,0.5350103303482796,0.003466609010585725,6.287152400384476e-42,4.2301075766117e-20,1.0,2.4490128054605464e-05
ATMi4 - S3,3.2373263627682575e-20,3.5925114183971216e-67,4.320780902705334e-37,2.399901454708056e-06,1.5966203432090086e-10,1.9624356212175842e-14,2.0178286607960382e-46,2.889693061257178e-20,0.03503742826131929,5.2807969646209124e-08,6.430529835259865e-14,1.1783952923640867e-43,7.538113532931189e-13,2.4490128054605464e-05,1.0
