Base index shifted,400_3#TOP,400_3#BOT
-200.0,48571,0
-199.0,609,0
-198.0,87,0
-197.0,37,0
-196.0,92,0
-195.0,39,0
-194.0,24,0
-193.0,2,0
-192.0,13,0
-191.0,2,0
-190.0,5,0
-189.0,2,0
-188.0,5,0
-187.0,2,0
-186.0,3,0
-185.0,7,0
-184.0,1,0
-183.0,2,0
-182.0,5,0
-181.0,5,0
-180.0,2,0
-179.0,0,0
-178.0,1,0
-177.0,3,0
-176.0,1,0
-175.0,3,0
-174.0,1,0
-173.0,6,0
-172.0,0,0
-171.0,3,0
-170.0,0,0
-169.0,0,0
-168.0,4,0
-167.0,6,0
-166.0,2,0
-165.0,1,0
-164.0,0,0
-163.0,0,0
-162.0,2,0
-161.0,3,0
-160.0,0,0
-159.0,1,0
-158.0,0,0
-157.0,1,0
-156.0,0,0
-155.0,1,0
-154.0,1,0
-153.0,0,0
-152.0,2,0
-151.0,7,0
-150.0,0,0
-149.0,2,0
-148.0,3,0
-147.0,5,1
-146.0,1,0
-145.0,0,0
-144.0,1,0
-143.0,6,0
-142.0,4,1
-141.0,2,0
-140.0,3,0
-139.0,1,0
-138.0,3,0
-137.0,1,0
-136.0,3,1
-135.0,0,1
-134.0,9,0
-133.0,0,2
-132.0,1,3
-131.0,2,1
-130.0,2,0
-129.0,0,0
-128.0,3,0
-127.0,3,1
-126.0,1,0
-125.0,4,2
-124.0,6,0
-123.0,4,0
-122.0,4,1
-121.0,1,0
-120.0,3,0
-119.0,3,0
-118.0,8,0
-117.0,4,0
-116.0,2,1
-115.0,3,1
-114.0,3,1
-113.0,4,0
-112.0,6,5
-111.0,3,0
-110.0,14,2
-109.0,2,0
-108.0,8,3
-107.0,7,1
-106.0,4,1
-105.0,5,0
-104.0,3,1
-103.0,5,4
-102.0,8,0
-101.0,1,0
-100.0,5,3
-99.0,3,2
-98.0,4,5
-97.0,2,2
-96.0,2,2
-95.0,1,2
-94.0,3,10
-93.0,0,1
-92.0,7,0
-91.0,1,3
-90.0,1,2
-89.0,1,0
-88.0,3,7
-87.0,7,4
-86.0,2,1
-85.0,1,10
-84.0,0,4
-83.0,8,4
-82.0,3,2
-81.0,6,5
-80.0,2,2
-79.0,3,1
-78.0,1,3
-77.0,3,4
-76.0,3,3
-75.0,7,0
-74.0,3,5
-73.0,3,8
-72.0,12,4
-71.0,5,6
-70.0,3,5
-69.0,5,3
-68.0,4,2
-67.0,5,4
-66.0,7,6
-65.0,6,3
-64.0,4,2
-63.0,2,2
-62.0,3,0
-61.0,13,2
-60.0,3,0
-59.0,14,1
-58.0,10,1
-57.0,4,3
-56.0,12,1
-55.0,14,4
-54.0,13,3
-53.0,16,1
-52.0,8,3
-51.0,19,4
-50.0,21,5
-49.0,14,5
-48.0,21,3
-47.0,21,1
-46.0,15,8
-45.0,16,2
-44.0,27,2
-43.0,19,6
-42.0,18,5
-41.0,12,2
-40.0,23,7
-39.0,36,2
-38.0,19,5
-37.0,41,10
-36.0,24,3
-35.0,23,11
-34.0,39,7
-33.0,18,6
