Base index shifted,ATMi_4_3#TOP,ATMi_4_3#BOT
-353.0,93097,0
-352.0,968,0
-351.0,228,0
-350.0,97,0
-349.0,148,0
-348.0,50,0
-347.0,34,0
-346.0,24,0
-345.0,34,0
-344.0,26,0
-343.0,16,0
-342.0,14,0
-341.0,102,0
-340.0,15,0
-339.0,19,0
-338.0,22,0
-337.0,6,0
-336.0,7,0
-335.0,10,0
-334.0,35,0
-333.0,27,0
-332.0,16,0
-331.0,29,0
-330.0,11,0
-329.0,17,0
-328.0,5,0
-327.0,6,0
-326.0,5,0
-325.0,7,0
-324.0,43,0
-323.0,10,0
-322.0,16,0
-321.0,4,0
-320.0,1,0
-319.0,7,0
-318.0,6,0
-317.0,25,0
-316.0,16,0
-315.0,8,0
-314.0,5,0
-313.0,4,0
-312.0,7,0
-311.0,3,0
-310.0,3,0
-309.0,13,0
-308.0,6,0
-307.0,4,0
-306.0,4,0
-305.0,4,0
-304.0,5,0
-303.0,5,0
-302.0,5,0
-301.0,7,0
-300.0,6,0
-299.0,4,0
-298.0,2,0
-297.0,0,0
-296.0,24,0
-295.0,3,0
-294.0,4,0
-293.0,6,0
-292.0,4,0
-291.0,1,0
-290.0,18,0
-289.0,5,0
-288.0,5,0
-287.0,4,0
-286.0,12,0
-285.0,6,0
-284.0,4,0
-283.0,13,0
-282.0,8,0
-281.0,9,0
-280.0,4,0
-279.0,4,0
-278.0,9,0
-277.0,6,0
-276.0,4,0
-275.0,8,0
-274.0,5,0
-273.0,3,0
-272.0,9,0
-271.0,6,0
-270.0,7,0
-269.0,1,0
-268.0,10,0
-267.0,19,0
-266.0,12,0
-265.0,6,0
-264.0,31,0
-263.0,9,0
-262.0,8,0
-261.0,8,0
-260.0,11,0
-259.0,11,0
-258.0,13,0
-257.0,16,0
-256.0,4,0
-255.0,9,0
-254.0,5,2
-253.0,21,0
-252.0,8,0
-251.0,5,1
-250.0,18,0
-249.0,11,0
-248.0,14,0
-247.0,14,0
-246.0,15,1
-245.0,12,1
-244.0,10,0
-243.0,14,0
-242.0,22,0
-241.0,10,0
-240.0,9,0
-239.0,11,1
-238.0,13,0
-237.0,10,0
-236.0,10,2
-235.0,8,0
-234.0,14,2
-233.0,13,0
-232.0,9,2
-231.0,13,0
-230.0,6,2
-229.0,8,2
-228.0,9,0
-227.0,7,4
-226.0,11,5
-225.0,10,0
-224.0,11,0
-223.0,20,1
-222.0,12,1
-221.0,9,2
-220.0,6,2
-219.0,22,3
-218.0,9,3
-217.0,13,4
-216.0,10,3
-215.0,15,7
-214.0,13,2
-213.0,14,2
-212.0,5,5
-211.0,10,6
-210.0,17,4
-209.0,8,6
-208.0,5,6
-207.0,12,3
-206.0,13,2
-205.0,7,4
-204.0,22,6
-203.0,16,2
-202.0,9,5
-201.0,8,11
-200.0,18,8
-199.0,17,6
-198.0,5,7
-197.0,7,9
-196.0,4,11
-195.0,12,24
-194.0,24,9
-193.0,10,6
-192.0,17,7
-191.0,7,3
-190.0,11,7
-189.0,9,1
-188.0,9,16
-187.0,8,8
-186.0,12,9
-185.0,8,12
-184.0,7,14
-183.0,4,11
-182.0,12,5
-181.0,5,10
-180.0,10,12
-179.0,5,15
-178.0,9,14
-177.0,6,10
-176.0,6,22
-175.0,10,34
-174.0,7,18
-173.0,5,8
-172.0,5,12
-171.0,3,7
-170.0,4,19
-169.0,7,29
-168.0,9,10
-167.0,3,18
-166.0,1,21
-165.0,1,17
-164.0,4,10
-163.0,5,16
-162.0,4,14
