Base index shifted,ATMi#TOP#AVERAGE,ATMi#TOP#STD,ATMi#BOT#AVERAGE,ATMi#BOT#STD
-50.0,5.7297058265007874e-05,5.790732249658876e-05,1.5433154292685165e-05,1.4494241569349065e-05
-49.0,2.5554453061457572e-05,2.5428461755490945e-05,2.0407808266647754e-05,3.5727320232862524e-05
-48.0,5.330840688239868e-05,4.9048782263873146e-05,9.927475247217006e-06,8.61436325833246e-06
-47.0,6.784964625554412e-05,0.00011674165829988302,1.646644749496379e-05,2.413611133699462e-05
-46.0,4.057143458990033e-05,2.9389556314229606e-05,2.658461786250734e-05,3.4992916626701306e-05
-45.0,4.104142256729913e-05,3.270267468399447e-05,1.0692579742368616e-05,1.6110437600513988e-05
-44.0,7.468126272092393e-05,6.511637587036201e-05,2.4667032278893943e-05,2.795377663210152e-05
-43.0,6.661383626781908e-05,6.718834646346199e-05,1.717906112424705e-05,2.280407194580597e-05
-42.0,4.8187565107430676e-05,7.817218892533817e-05,1.5342779825907635e-05,7.789772448133934e-06
-41.0,0.00014488354594571146,0.00011045203183960735,1.9938886312036304e-05,2.3606134235466683e-05
-40.0,0.00010146893114540678,5.315250916361607e-05,1.800497832439908e-05,1.5021470851827848e-05
-39.0,0.00010964837077098197,4.57394822714899e-05,2.1988541035991247e-05,2.4434369212719903e-05
-38.0,4.7762430250084794e-05,5.5155077544325625e-05,3.537340233507906e-05,3.456307317355368e-05
-37.0,0.00012914880321720669,8.552192650768844e-05,3.608931421691268e-05,3.973025578080054e-05
-36.0,6.698824655641178e-05,5.73289552566069e-05,2.2285166546643827e-05,3.287261957576307e-05
-35.0,0.00010043135363416709,7.871142528989785e-05,2.568423076174075e-05,2.9197802529085394e-05
-34.0,0.0002142369398077709,0.00019992982242780118,2.2904568352659444e-05,2.2992755615327635e-05
-33.0,0.00016382029149354316,9.718936657342474e-05,2.5403005974262813e-05,2.669768685204619e-05
-32.0,0.00019780945856817157,0.00013214892911893477,2.9973131923743e-05,3.203342277785824e-05
-31.0,0.00015946248615833635,9.709504292759311e-05,3.381541804009464e-05,3.1674957790210995e-05
-30.0,0.0003858654091507192,0.0001613989587672953,2.9260251276793228e-05,3.624179083312621e-05
-29.0,0.00022198227937013688,0.00011897364048544189,3.93244463898713e-05,2.6594735587674766e-05
-28.0,0.0005224027107178874,0.00025986888095612913,2.7940749888675305e-05,4.154045640939677e-05
-27.0,0.00035281675271845266,0.0001549329812144293,3.295476866060539e-05,2.416153448100151e-05
-26.0,0.0005919463582206359,0.0003125271137734798,3.0275445203371348e-05,2.2930549799724505e-05
-25.0,0.0006991308636216813,0.00028674455349210845,3.10830305713526e-05,2.374708953328427e-05
-24.0,0.0003212542473187361,0.00014426621607281753,0.00012912158749402538,7.002774863919938e-05
-23.0,0.0009091876483667411,0.00042903840361091213,3.57712913083147e-05,1.956951260284228e-05
-22.0,0.0005252629561548069,0.00027037207102686696,2.2414578188535955e-05,1.9156241309428156e-05
-21.0,0.0006500942502266117,0.00036403403107335445,3.491787546751928e-05,2.375294271688496e-05
-20.0,0.0013808370739807497,0.0007214747276061737,1.4382645147557002e-05,1.613044318028104e-05
-19.0,0.0009455089382296738,0.0005930857026909919,5.624277019496253e-05,2.39826873047133e-05
-18.0,0.0020265909211578236,0.0015451022768569157,4.6984570404346406e-05,4.251842741505219e-05
-17.0,0.001641376251690757,0.0014268154581285623,4.64520132764529e-05,4.307132437618638e-05
-16.0,0.0022345653183104453,0.002007780207744521,3.170446216653689e-05,1.8263223709415936e-05
-15.0,0.0018425270371247029,0.0018699026087106517,5.651383751733485e-05,4.222275745259241e-05
-14.0,0.0021826429304552647,0.0019269555729492659,6.60283037921644e-05,3.108323188824792e-05
-13.0,0.003293571242233553,0.002410896675538932,7.029097437901421e-05,3.932217679408576e-05
-12.0,0.006002354740688343,0.0032958728360974665,7.260091458850873e-05,2.989041240907862e-05
-11.0,0.008331525471886423,0.0037305075958615707,6.734792949760305e-05,3.883624383939329e-05
-10.0,0.008972572895620872,0.0014935162468511073,9.227142635868613e-05,3.542390777905747e-05
-9.0,0.029316799274218028,0.007644398509509139,5.960034928843485e-05,2.139541893008508e-05
-8.0,0.027718943394080115,0.006667898605297147,0.000609174699619817,0.00024788045978983323
-7.0,0.032270645850121904,0.00532686449303538,0.00025646609795431096,0.00010637133914921686
-6.0,0.040422599941006304,0.012205252816087168,0.00018539320308268628,7.317833970986101e-05
-5.0,0.022760361651850112,0.01712866489591689,0.0002057416190019001,8.382603807477141e-05
-4.0,0.07034005917338403,0.013910664896540328,0.00013200636048205647,5.182401187416725e-05
-3.0,0.04965673914723691,0.007805962515235924,0.00028663478018310147,0.00016124466517980826
-2.0,0.08153228198766717,0.018217398538874014,0.0001979525836197823,8.10522617431962e-05
-1.0,0.07649210765803571,0.020772130677585782,0.00032803025737779517,0.00015994055083309663
0.0,0.08884287261464517,0.019596681016206086,0.9649074864945882,0.010169045448427519
1.0,0.07448642778421967,0.020491168983087612,0.01343109500175744,0.006913700631774153
2.0,0.03501680956980067,0.009347719613573531,0.0015372106329003268,0.0008658257128475351
3.0,0.09138010199921762,0.01782520314179447,0.0010927663349581248,0.000468870589275072
4.0,0.04250379195033721,0.009905541120246976,0.001052683929778734,0.00029799014667516326
5.0,0.037692403930742475,0.007566934228244459,0.0005293586836505683,0.00012732006058554891
6.0,0.04198452401976064,0.007312522808306454,0.0002668052373889468,9.413359314057562e-05
7.0,0.01628913790781782,0.003952035491083974,0.0012651906170341413,0.00018520333381389856
8.0,0.025958632310050873,0.009191800897079307,0.0005037229475084815,0.00020756091682306153
9.0,0.01697128642558456,0.00609145139323733,0.0006946249032045757,0.00016204742547106326
10.0,0.011366113874807102,0.0027592500107047587,0.0007411829651595758,0.0003120302137058899
11.0,0.0070384151034559505,0.0032374733809151586,0.0005473533665568273,0.000299828679200992
12.0,0.005162346194717579,0.0014722141684607,0.0005833916464455758,0.000386414810314925
13.0,0.003826885094427848,0.0010282703432728474,0.0004039172129360914,0.00022226365631503072
14.0,0.0021996742047133665,0.0005935309147534669,0.00031196410395978444,0.000147342287387791
