Base index shifted,AT_1#TOP,AT_1#BOT
-352.0,82270,0
-351.0,633,0
-350.0,186,0
-349.0,77,0
-348.0,118,0
-347.0,46,0
-346.0,66,0
-345.0,19,0
-344.0,11,0
-343.0,8,0
-342.0,8,0
-341.0,8,0
-340.0,40,0
-339.0,8,0
-338.0,16,0
-337.0,7,0
-336.0,3,0
-335.0,3,0
-334.0,3,0
-333.0,28,0
-332.0,9,0
-331.0,5,0
-330.0,3,0
-329.0,3,0
-328.0,3,0
-327.0,5,0
-326.0,2,0
-325.0,5,0
-324.0,6,0
-323.0,2,0
-322.0,5,0
-321.0,11,0
-320.0,4,0
-319.0,3,0
-318.0,7,0
-317.0,2,0
-316.0,23,0
-315.0,5,0
-314.0,7,0
-313.0,5,0
-312.0,1,0
-311.0,11,0
-310.0,5,0
-309.0,3,0
-308.0,7,0
-307.0,5,0
-306.0,4,0
-305.0,5,0
-304.0,4,0
-303.0,8,0
-302.0,3,0
-301.0,11,0
-300.0,6,0
-299.0,5,0
-298.0,2,0
-297.0,2,0
-296.0,1,0
-295.0,20,0
-294.0,6,0
-293.0,2,0
-292.0,3,0
-291.0,6,0
-290.0,3,0
-289.0,18,0
-288.0,11,0
-287.0,3,0
-286.0,7,0
-285.0,6,0
-284.0,7,0
-283.0,9,1
-282.0,14,0
-281.0,6,0
-280.0,5,0
-279.0,5,0
-278.0,4,1
-277.0,12,0
-276.0,7,0
-275.0,5,0
-274.0,10,0
-273.0,10,0
-272.0,5,0
-271.0,7,0
-270.0,12,0
-269.0,11,0
-268.0,13,0
-267.0,22,2
-266.0,13,1
-265.0,11,0
-264.0,4,0
-263.0,23,1
-262.0,13,0
-261.0,3,0
-260.0,7,0
-259.0,8,0
-258.0,10,1
-257.0,7,1
-256.0,11,0
-255.0,6,1
-254.0,8,2
-253.0,6,1
-252.0,15,1
-251.0,9,3
-250.0,14,3
-249.0,19,2
-248.0,38,1
-247.0,10,2
-246.0,10,1
-245.0,9,0
-244.0,9,7
-243.0,13,2
-242.0,13,0
-241.0,16,0
-240.0,13,5
-239.0,16,4
-238.0,11,0
-237.0,19,1
-236.0,4,2
-235.0,13,4
-234.0,16,5
-233.0,24,2
-232.0,22,1
-231.0,5,6
-230.0,15,3
-229.0,10,2
-228.0,20,8
-227.0,16,1
-226.0,12,3
-225.0,19,5
-224.0,16,4
-223.0,20,14
-222.0,16,6
-221.0,13,6
-220.0,18,4
-219.0,17,5
-218.0,24,8
-217.0,10,16
-216.0,23,11
-215.0,15,11
-214.0,16,18
-213.0,16,17
-212.0,21,20
-211.0,18,14
-210.0,29,15
-209.0,30,17
-208.0,31,15
-207.0,24,15
-206.0,29,14
-205.0,21,16
-204.0,25,22
-203.0,31,17
-202.0,22,18
-201.0,26,20
-200.0,24,38
-199.0,23,26
-198.0,24,16
-197.0,21,20
-196.0,20,21
-195.0,3,23
-194.0,19,42
-193.0,30,23
-192.0,27,29
-191.0,17,23
-190.0,14,20
-189.0,24,37
-188.0,11,27
-187.0,24,35
-186.0,31,34
-185.0,14,38
-184.0,24,48
-183.0,22,52
-182.0,19,52
-181.0,31,12
-180.0,21,16
-179.0,27,45
-178.0,13,51
-177.0,18,37
-176.0,10,15
-175.0,14,40
-174.0,25,73
-173.0,16,35
-172.0,15,19
-171.0,7,33
-170.0,4,42
-169.0,8,42
-168.0,4,36
-167.0,6,28
-166.0,6,46
-165.0,9,41
-164.0,8,35
-163.0,8,36
-162.0,6,33
-161.0,6,50
-160.0,1,38
-159.0,3,41
-158.0,3,63
-157.0,8,67
-156.0,2,49
-155.0,5,59
-154.0,5,35
-153.0,4,46
-152.0,2,42
-151.0,3,46
-150.0,2,49
-149.0,0,58
-148.0,6,49
-147.0,2,33
-146.0,11,39
-145.0,3,53
-144.0,8,44
-143.0,4,43
-142.0,3,51
-141.0,3,45
-140.0,6,34
-139.0,5,45
-138.0,1,62
-137.0,6,50
-136.0,1,47
-135.0,1,50
-134.0,6,66
-133.0,0,21
-132.0,5,51
-131.0,2,53
-130.0,2,54
-129.0,3,51
-128.0,5,45
-127.0,2,37
-126.0,2,29
-125.0,3,49
-124.0,1,24
-123.0,1,24
-122.0,2,21
-121.0,3,20
-120.0,1,18
-119.0,2,19
-118.0,1,28
-117.0,1,23
-116.0,1,19
-115.0,3,29
-114.0,1,20
-113.0,2,27
-112.0,3,19
-111.0,2,27
-110.0,3,19
-109.0,2,28
-108.0,0,29
-107.0,1,18
-106.0,6,14
-105.0,3,19
-104.0,0,29
-103.0,1,14
-102.0,3,21
-101.0,2,16
-100.0,1,19
-99.0,0,21
-98.0,0,15
-97.0,2,19
-96.0,0,13
-95.0,5,22
-94.0,1,17
-93.0,1,22
-92.0,5,14
-91.0,1,13
-90.0,1,9
-89.0,1,17
-88.0,3,15
-87.0,0,15
-86.0,2,18
-85.0,0,14
-84.0,1,18
-83.0,2,9
-82.0,0,9
-81.0,2,7
-80.0,0,4
-79.0,0,16
-78.0,0,14
-77.0,5,7
-76.0,1,18
-75.0,2,14
-74.0,4,14
-73.0,3,20
-72.0,10,17
-71.0,4,10
-70.0,0,15
-69.0,2,29
-68.0,1,13
-67.0,3,15
-66.0,0,12
-65.0,3,18
-64.0,4,12
-63.0,0,21
-62.0,3,28
-61.0,4,16
-60.0,0,18
-59.0,2,38
-58.0,3,28
-57.0,3,19
-56.0,9,27
-55.0,7,28
-54.0,7,11
-53.0,9,16
-52.0,7,15
-51.0,4,16
-50.0,4,25
-49.0,6,22
-48.0,6,46
-47.0,9,19
-46.0,11,17
-45.0,9,8
-44.0,15,24
-43.0,15,33
-42.0,11,25
-41.0,29,17
-40.0,26,36
-39.0,33,25
-38.0,19,26
-37.0,28,19
-36.0,24,20
-35.0,22,30
-34.0,60,51
-33.0,66,32
-32.0,79,62
-31.0,80,43
-30.0,95,48
-29.0,97,25
-28.0,116,54
-27.0,171,60
-26.0,140,34
-25.0,172,56
-24.0,164,59
-23.0,218,84
-22.0,205,42
-21.0,267,53
-20.0,319,26
-19.0,294,42
-18.0,385,36
-17.0,445,54
-16.0,593,26
-15.0,788,40
-14.0,1055,39
-13.0,1400,36
-12.0,1579,37
-11.0,1805,43
-10.0,2464,44
-9.0,2324,45
-8.0,2981,35
-7.0,3312,39
-6.0,3593,36
-5.0,3948,82
-4.0,4085,57
-3.0,4127,60
-2.0,4676,76
-1.0,4699,454
0.0,4878,78205
1.0,4183,32
2.0,5675,22
3.0,4629,16
4.0,3903,30
5.0,4531,13
6.0,2891,13
7.0,3277,19
8.0,2429,12
9.0,1637,6
10.0,1241,10
11.0,1019,5
12.0,826,13
13.0,805,7
14.0,394,11
15.0,182,13
16.0,226,12
17.0,199,8
18.0,182,4
19.0,108,4
20.0,74,3
21.0,68,3
22.0,117,7
23.0,88,5
24.0,78,2
25.0,60,3
26.0,47,3
27.0,47,2
28.0,44,7
29.0,47,4
30.0,53,0
31.0,45,6
32.0,44,3
33.0,33,3
34.0,51,3
35.0,40,3
36.0,47,5
37.0,47,2
38.0,46,0
39.0,35,1
40.0,25,2
41.0,28,1
42.0,20,2
43.0,21,3
44.0,12,2
45.0,6,2
46.0,18,3
47.0,47,1
48.0,23,2
49.0,19,5
50.0,33,2
51.0,20,2
52.0,19,2
53.0,18,1
54.0,10,3
55.0,15,1
56.0,10,2
57.0,11,2
58.0,6,0
59.0,5,0
60.0,4,0
61.0,7,1
62.0,4,1
63.0,8,2
64.0,5,0
65.0,8,1
66.0,11,1
67.0,5,1
68.0,13,0
69.0,7,1
70.0,3,0
71.0,7,0
72.0,13,1
73.0,13,0
74.0,2,2
75.0,8,0
76.0,10,0
77.0,6,1
78.0,16,0
79.0,10,2
80.0,3,4
81.0,11,0
82.0,11,1
83.0,5,0
84.0,6,2
85.0,9,0
86.0,2,2
87.0,5,0
88.0,25,1
89.0,11,1
90.0,11,2
91.0,3,0
92.0,17,1
93.0,9,0
94.0,7,4
95.0,11,0
96.0,13,0
97.0,13,1
98.0,14,2
99.0,12,2
100.0,8,1
101.0,10,3
102.0,7,2
103.0,12,0
104.0,15,0
105.0,12,0
106.0,18,2
107.0,20,2
108.0,13,1
109.0,13,2
110.0,9,1
111.0,7,3
112.0,14,2
113.0,10,2
114.0,14,4
115.0,16,2
116.0,11,2
117.0,4,3
118.0,17,2
119.0,12,2
120.0,31,3
121.0,19,2
122.0,14,7
123.0,18,5
124.0,23,2
125.0,28,9
126.0,17,7
127.0,22,6
128.0,10,5
129.0,19,9
130.0,29,6
131.0,27,12
132.0,39,7
133.0,25,7
134.0,21,5
135.0,53,7
136.0,24,5
137.0,18,9
138.0,22,13
139.0,24,8
140.0,25,7
141.0,31,8
142.0,26,10
143.0,29,7
144.0,21,5
145.0,25,17
146.0,58,9
147.0,31,9
148.0,38,12
149.0,36,12
150.0,33,13
151.0,38,12
152.0,32,9
153.0,26,14
154.0,23,16
155.0,35,13
156.0,36,11
157.0,39,17
158.0,26,8
159.0,35,15
160.0,39,9
161.0,25,6
162.0,56,16
163.0,30,10
164.0,18,13
165.0,37,8
166.0,36,9
167.0,62,12
168.0,31,8
169.0,47,16
170.0,44,8
171.0,59,16
172.0,52,19
173.0,36,7
174.0,29,7
175.0,37,17
176.0,31,21
177.0,26,14
178.0,39,14
179.0,45,8
180.0,45,17
181.0,33,13
182.0,41,16
183.0,53,18
184.0,47,16
185.0,48,21
186.0,39,11
187.0,45,11
188.0,43,17
189.0,52,10
190.0,51,17
191.0,48,20
192.0,26,25
193.0,42,17
194.0,37,24
195.0,30,22
196.0,25,18
197.0,48,17
198.0,41,14
199.0,37,12
200.0,40,9
201.0,28,15
202.0,37,14
203.0,34,19
204.0,33,13
205.0,33,10
206.0,37,12
207.0,24,12
208.0,34,12
209.0,27,11
210.0,26,7
211.0,22,11
212.0,25,19
213.0,16,9
214.0,16,12
215.0,17,14
216.0,25,16
217.0,13,6
218.0,18,12
219.0,22,8
220.0,14,7
221.0,12,7
222.0,22,12
223.0,9,3
224.0,25,10
225.0,13,6
226.0,7,4
227.0,13,10
228.0,8,5
229.0,12,5
230.0,6,6
231.0,7,16
232.0,2,10
233.0,10,4
