Base index shifted,ATMi2_2#TOP,ATMi2_2#BOT
-48.0,0,1
-47.0,0,1
-46.0,0,2
-45.0,1,1
-44.0,1,0
-42.0,0,2
-41.0,1,5
-40.0,2,1
-39.0,3,0
-38.0,0,2
-37.0,4,3
-36.0,0,3
-35.0,1,1
-34.0,1,4
-33.0,2,1
-32.0,2,6
-31.0,1,3
-30.0,9,6
-29.0,3,9
-28.0,8,3
-27.0,7,3
-26.0,4,3
-25.0,13,2
-24.0,5,15
-23.0,12,3
-22.0,9,2
-21.0,10,3
-20.0,19,3
-19.0,6,6
-18.0,11,4
-17.0,21,1
-16.0,25,4
-15.0,9,3
-14.0,17,12
-13.0,34,5
-12.0,60,9
-11.0,90,7
-10.0,170,9
-9.0,360,11
-8.0,451,67
-7.0,593,38
-6.0,759,36
-5.0,284,38
-4.0,1638,20
-3.0,1111,41
-2.0,1302,21
-1.0,1464,77
0.0,1810,112463
1.0,1067,1939
2.0,435,162
3.0,1821,159
4.0,1008,149
5.0,747,75
6.0,927,36
7.0,364,139
8.0,539,56
9.0,313,95
10.0,231,98
11.0,110,63
12.0,106,50
13.0,88,32
14.0,41,25
15.0,65,76
16.0,47,82
17.0,49,20
18.0,25,37
19.0,71,28
20.0,48,26
21.0,42,34
22.0,18,18
23.0,29,40
24.0,20,12
25.0,17,22
26.0,13,61
27.0,18,22
28.0,11,7
29.0,10,12
30.0,11,43
31.0,7,15
32.0,5,11
33.0,8,10
34.0,3,16
35.0,8,9
36.0,9,15
37.0,19,14
38.0,5,14
39.0,4,7
40.0,2,16
41.0,2,12
42.0,0,81
43.0,2,22
44.0,2,7
45.0,2,9
46.0,1,4
47.0,3,9
48.0,0,13
49.0,0,8
50.0,0,12
