Base index shifted,AT_2#TOP,AT_2#BOT
-353,78937,0
-352,629,0
-351,196,0
-350,80,0
-349,130,0
-348,76,0
-347,69,0
-346,28,0
-345,30,0
-344,6,0
-343,7,0
-342,14,0
-341,45,0
-340,14,0
-339,11,0
-338,6,0
-337,4,0
-336,10,0
-335,6,0
-334,17,0
-333,13,0
-332,11,0
-331,6,0
-330,4,0
-329,4,0
-328,5,0
-327,5,0
-326,3,0
-325,7,0
-324,7,0
-323,9,0
-322,13,0
-321,7,0
-320,2,0
-319,3,0
-318,3,0
-317,15,0
-316,12,0
-315,2,0
-314,4,0
-313,3,0
-312,12,0
-311,7,0
-310,3,0
-309,13,0
-308,6,0
-307,3,0
-306,9,0
-305,3,0
-304,9,0
-303,5,0
-302,11,0
-301,3,0
-300,6,0
-299,4,0
-298,7,0
-297,5,0
-296,22,0
-295,13,0
-294,6,0
-293,7,0
-292,5,1
-291,7,0
-290,30,0
-289,4,2
-288,6,2
-287,11,2
-286,6,2
-285,11,2
-284,6,1
-283,15,0
-282,7,0
-281,6,1
-280,9,0
-279,6,0
-278,17,0
-277,9,0
-276,6,2
-275,4,0
-274,7,5
-273,11,2
-272,9,3
-271,9,1
-270,15,1
-269,11,0
-268,20,3
-267,17,0
-266,11,1
-265,13,0
-264,27,1
-263,11,0
-262,13,2
-261,10,1
-260,13,1
-259,11,2
-258,8,5
-257,16,2
-256,8,4
-255,15,5
-254,13,1
-253,32,1
-252,17,4
-251,10,2
-250,19,2
-249,30,1
-248,19,5
-247,18,1
-246,11,7
-245,8,3
-244,17,1
-243,32,3
-242,12,3
-241,10,3
-240,19,4
-239,13,2
-238,17,5
-237,9,4
-236,13,8
-235,26,8
-234,15,6
-233,21,9
-232,8,9
-231,15,7
-230,9,8
-229,26,14
-228,19,5
-227,13,11
-226,12,14
-225,12,6
-224,17,14
-223,18,16
-222,21,16
-221,16,25
-220,22,14
-219,15,15
-218,20,21
-217,24,18
-216,17,41
-215,12,23
-214,21,50
-213,33,31
-212,24,34
-211,33,30
-210,36,30
-209,32,28
-208,25,23
-207,17,29
-206,22,32
-205,18,31
-204,46,40
-203,25,24
-202,20,33
-201,21,35
-200,32,36
-199,35,27
-198,28,31
-197,29,31
-196,26,44
-195,35,67
-194,31,44
-193,38,33
-192,20,31
-191,18,32
-190,36,49
-189,30,46
-188,27,55
-187,32,42
-186,29,64
-185,34,56
-184,36,78
-183,35,63
-182,31,35
-181,25,48
-180,34,84
-179,39,75
-178,44,77
-177,29,40
-176,19,79
-175,37,105
-174,26,45
-173,23,37
-172,23,56
-171,21,58
-170,5,53
-169,17,43
-168,16,45
-167,19,71
-166,25,59
-165,21,79
-164,18,58
-163,20,71
-162,15,74
-161,8,70
-160,10,61
-159,10,64
-158,28,72
-157,15,62
-156,24,58
