Base index shifted,GC_1#TOP,GC_1#BOT
-352.0,57817,0
-351.0,440,0
-350.0,136,0
-349.0,44,0
-348.0,81,0
-347.0,39,0
-346.0,75,0
-345.0,23,0
-344.0,18,0
-343.0,11,0
-342.0,19,0
-341.0,5,0
-340.0,39,0
-339.0,13,0
-338.0,11,0
-337.0,6,0
-336.0,1,0
-335.0,6,0
-334.0,5,0
-333.0,27,0
-332.0,9,0
-331.0,4,0
-330.0,6,0
-329.0,1,0
-328.0,4,0
-327.0,8,0
-326.0,5,0
-325.0,3,0
-324.0,5,0
-323.0,3,0
-322.0,15,0
-321.0,16,0
-320.0,2,0
-319.0,1,0
-318.0,0,0
-317.0,1,0
-316.0,15,0
-315.0,3,0
-314.0,2,0
-313.0,0,0
-312.0,5,0
-311.0,11,0
-310.0,8,0
-309.0,5,0
-308.0,1,0
-307.0,3,0
-306.0,3,0
-305.0,3,0
-304.0,0,0
-303.0,3,0
-302.0,0,0
-301.0,2,0
-300.0,3,0
-299.0,1,0
-298.0,1,0
-297.0,8,0
-296.0,2,0
-295.0,16,0
-294.0,0,0
-293.0,3,0
-292.0,5,0
-291.0,3,2
-290.0,4,0
-289.0,19,0
-288.0,1,0
-287.0,3,1
-286.0,2,1
-285.0,8,1
-284.0,0,1
-283.0,4,0
-282.0,5,0
-281.0,0,0
-280.0,2,1
-279.0,4,1
-278.0,3,0
-277.0,5,1
-276.0,1,0
-275.0,4,0
-274.0,4,1
-273.0,3,0
-272.0,5,2
-271.0,2,1
-270.0,6,0
-269.0,12,0
-268.0,2,0
-267.0,19,0
-266.0,8,0
-265.0,3,3
-264.0,3,1
-263.0,16,3
-262.0,4,1
-261.0,4,0
-260.0,5,1
-259.0,5,1
-258.0,7,1
-257.0,3,2
-256.0,5,2
-255.0,5,2
-254.0,3,2
-253.0,4,0
-252.0,27,1
-251.0,6,0
-250.0,4,2
-249.0,6,0
-248.0,7,0
-247.0,5,0
-246.0,9,2
-245.0,5,2
-244.0,3,7
-243.0,10,1
-242.0,8,2
-241.0,5,1
-240.0,7,0
-239.0,11,7
-238.0,5,1
-237.0,9,1
-236.0,5,2
-235.0,7,4
-234.0,8,1
-233.0,15,2
-232.0,12,3
-231.0,3,1
-230.0,11,2
