Base index,AT_1#TOP,AT_1#BOT
1,82270,0
2,633,0
3,186,0
4,77,0
5,118,0
6,46,0
7,66,0
8,19,0
9,11,0
10,8,0
11,8,0
12,8,0
13,40,0
14,8,0
15,16,0
16,7,0
17,3,0
18,3,0
19,3,0
20,28,0
21,9,0
22,5,0
23,3,0
24,3,0
25,3,0
26,5,0
27,2,0
28,5,0
29,6,0
30,2,0
31,5,0
32,11,0
33,4,0
34,3,0
35,7,0
36,2,0
37,23,0
38,5,0
39,7,0
40,5,0
41,1,0
42,11,0
43,5,0
44,3,0
45,7,0
46,5,0
47,4,0
48,5,0
49,4,0
50,8,0
51,3,0
52,11,0
53,6,0
54,5,0
55,2,0
56,2,0
57,1,0
58,20,0
59,6,0
60,2,0
61,3,0
62,6,0
63,3,0
64,18,0
65,11,0
66,3,0
67,7,0
68,6,0
69,7,1
70,9,0
71,14,0
72,6,0
73,5,0
74,5,1
75,4,0
76,12,0
77,7,0
78,5,0
79,10,0
80,10,0
81,5,0
82,7,0
83,12,0
84,11,0
85,13,2
86,22,1
87,13,0
88,11,0
89,4,1
90,23,0
91,13,0
92,3,0
93,7,0
94,8,1
95,10,1
96,7,0
97,11,1
98,6,2
99,8,1
100,6,1
101,15,3
102,9,3
103,14,2
104,19,1
105,38,2
106,10,1
107,10,0
108,9,7
109,9,2
110,13,0
111,13,0
112,16,5
113,13,4
114,16,0
115,11,1
116,19,2
117,4,4
118,13,5
119,16,2
120,24,1
121,22,6
122,5,3
123,15,2
124,10,8
125,20,1
126,16,3
127,12,5
128,19,4
129,16,14
130,20,6
131,16,6
132,13,4
133,18,5
134,17,8
135,24,16
136,10,11
137,23,11
138,15,18
139,16,17
140,16,20
141,21,14
142,18,15
143,29,17
144,30,15
145,31,15
146,24,14
147,29,16
148,21,22
149,25,17
150,31,18
151,22,20
152,26,38
153,24,26
154,23,16
155,24,20
156,21,21
157,20,23
158,3,42
159,19,23
160,30,29
161,27,23
162,17,20
163,14,37
164,24,27
165,11,35
166,24,34
167,31,38
168,14,48
169,24,52
170,22,52
171,19,12
172,31,16
173,21,45
174,27,51
175,13,37
176,18,15
177,10,40
178,14,73
179,25,35
180,16,19
181,15,33
182,7,42
183,4,42
184,8,36
185,4,28
186,6,46
187,6,41
188,9,35
189,8,36
190,8,33
191,6,50
192,6,38
193,1,41
194,3,63
195,3,67
196,8,49
197,2,59
198,5,35
199,5,46
200,4,42
201,2,46
202,3,49
203,2,58
