Base index,AT_3#TOP,AT_3#BOT
1,79565,0
2,588,0
3,197,0
4,108,0
5,108,0
6,70,0
7,73,0
8,18,0
9,22,0
10,8,0
11,10,0
12,12,0
13,50,0
14,15,0
15,11,0
16,10,0
17,9,0
18,8,0
19,1,0
20,22,0
21,13,0
22,4,0
23,4,0
24,7,0
25,4,0
26,11,0
27,3,0
28,9,0
29,5,0
30,3,0
31,8,0
32,22,0
33,3,0
34,4,0
35,0,0
36,6,0
37,15,0
38,5,0
39,7,0
40,3,0
41,1,0
42,5,0
43,6,0
44,1,0
45,10,0
46,5,0
47,1,0
48,5,0
49,1,0
50,7,0
51,7,0
52,6,0
53,2,0
54,7,0
55,3,0
56,1,0
57,7,0
58,16,0
59,6,0
60,3,0
61,11,0
62,9,0
63,1,0
64,17,0
65,8,1
66,5,0
67,7,0
68,5,0
69,5,0
70,7,0
71,10,0
72,9,0
73,4,0
74,3,0
75,7,0
76,5,0
77,12,0
78,5,0
79,7,0
80,6,1
81,2,0
82,3,0
83,7,0
84,12,0
85,7,2
86,10,0
87,10,0
88,8,0
89,4,0
90,21,2
91,10,1
92,13,0
93,10,0
94,7,0
95,3,0
96,5,2
97,12,1
98,5,3
99,3,3
100,9,1
101,24,0
102,5,1
103,8,1
104,11,2
105,29,3
106,3,1
107,16,5
108,7,5
109,10,2
110,13,3
111,15,2
112,11,4
113,11,0
114,20,1
115,11,0
116,16,1
117,7,8
118,12,5
119,20,5
120,19,3
121,15,7
122,4,5
123,8,4
124,7,5
125,19,3
126,17,7
127,9,7
128,22,3
129,11,11
130,16,8
131,17,10
132,10,9
133,15,9
134,16,10
135,15,7
136,14,22
137,21,13
138,14,16
139,10,28
140,26,24
141,31,16
142,12,22
143,21,25
144,20,14
145,31,8
146,19,20
147,22,17
148,22,26
149,17,18
150,27,17
151,16,15
152,23,27
153,36,26
154,19,17
155,29,23
156,23,24
157,26,33
158,18,42
159,16,28
160,15,30
161,16,21
162,27,15
163,11,24
164,16,22
165,12,31
166,10,31
167,9,34
168,13,56
169,17,47
170,10,44
171,15,12
172,9,13
173,9,40
174,12,52
175,11,41
176,11,18
177,3,37
178,4,71
179,10,32
180,10,15
181,6,25
182,4,23
183,5,42
184,4,29
185,3,17
186,3,34
187,3,34
188,6,45
189,5,34
190,4,49
191,3,32
192,4,37
193,1,50
194,2,44
195,3,49
196,2,39
197,2,40
198,3,18
199,4,43
200,3,42
201,3,34
202,3,44
203,2,44
204,1,45
205,4,25
206,6,40
207,3,54
208,3,49
209,12,44
210,1,51
211,4,50
212,1,27
213,8,23
214,0,49
215,4,42
216,6,51
217,2,64
218,0,31
219,1,27
220,2,33
221,0,35
222,1,42
223,0,45
224,1,40
225,1,41
226,5,26
227,1,31
228,1,18
229,0,25
230,4,22
231,1,17
232,3,19
233,1,16
234,0,14
235,1,19
236,0,18
237,3,28
238,1,22
239,0,18
240,2,18
241,2,18
242,1,21
243,0,14
244,0,29
245,0,14
246,1,9
247,3,23
248,3,13
249,2,11
250,1,15
251,1,15
252,0,16
253,0,17
254,0,18
255,2,14
256,5,15
257,1,13
258,1,15
259,1,22
260,0,13
261,2,13
262,1,12
263,0,8
264,0,8
265,1,6
266,0,8
267,1,14
268,0,12
269,2,19
270,0,12
271,0,9
272,2,10
273,0,16
274,0,16
275,0,8
276,4,21
277,0,11
278,0,14
279,0,13
280,4,11
281,9,8
282,0,14
283,0,19
284,3,19
285,2,14
286,5,13
287,1,6
288,1,17
289,1,12
290,3,25
291,2,18
292,3,18
293,2,28
294,3,16
295,7,17
296,2,27
297,3,23
298,1,14
299,5,15
300,11,12
301,4,15
302,2,16
303,7,22
304,3,41
305,6,14
306,14,16
307,4,10
308,10,17
309,5,24
310,14,23
311,10,26
312,24,29
313,24,19
314,22,22
315,18,19
316,27,19
317,32,29
318,17,37
319,46,16
320,56,52
321,59,34
322,69,35
323,87,29
324,93,39
325,84,64
326,120,34
327,113,54
328,145,47
329,157,73
330,160,49
331,154,33
332,217,31
333,232,31
334,273,29
335,303,58
336,355,25
337,506,25
338,745,29
339,913,30
340,1180,21
341,1291,29
342,1670,35
343,2126,32
344,2041,28
345,2614,31
346,3011,24
347,3137,58
348,3634,44
349,3526,55
350,3684,85
351,3903,359
352,4117,76213
353,4117,22
354,3821,15
355,4939,17
356,3925,17
357,3410,14
358,3845,3
359,2462,15
360,2919,6
361,2113,5
362,1433,7
363,1159,7
364,926,4
365,749,4
366,726,8
367,298,6
368,217,6
369,199,7
370,206,3
371,191,2
372,116,6
373,97,3
374,71,2
375,92,6
376,91,0
377,74,2
378,61,4
379,79,0
380,31,5
381,60,2
382,32,2
383,39,4
384,32,4
385,21,1
386,34,2
387,41,2
388,39,1
389,46,2
390,32,0
391,46,1
392,37,0
393,17,2
394,17,0
395,11,0
396,12,0
397,14,1
398,14,3
399,7,1
400,46,1
401,10,2
402,15,1
403,35,2
404,23,3
405,23,0
406,18,0
407,8,3
408,9,0
409,6,1
410,5,1
411,3,1
412,2,1
413,7,0
414,8,0
415,9,0
416,11,0
417,3,0
418,5,0
419,2,0
420,5,2
421,9,1
422,4,1
423,5,0
424,2,0
425,8,0
426,10,1
427,5,2
428,11,0
429,8,0
430,2,1
431,13,0
432,7,0
433,2,0
434,9,0
435,6,0
436,9,0
437,2,2
438,6,1
439,6,1
440,3,0
441,16,1
442,6,0
443,6,0
444,7,1
445,14,0
446,3,0
447,12,0
448,5,1
449,8,1
450,5,1
451,7,2
452,7,3
453,5,3
454,14,0
455,10,0
456,17,1
457,10,1
458,2,2
459,5,0
460,8,0
461,3,0
462,9,0
463,7,3
464,4,4
465,7,0
466,6,3
467,8,2
468,8,2
469,4,2
470,3,1
471,8,3
472,6,0
473,10,1
474,5,3
475,7,3
476,12,5
477,9,5
478,19,8
479,16,3
480,8,2
481,11,3
482,19,3
483,15,8
484,5,6
485,32,9
486,14,6
487,13,6
488,31,13
489,14,12
490,6,11
491,11,6
492,26,5
493,18,11
494,20,6
495,18,7
496,12,3
497,19,6
498,18,4
499,47,3
500,23,9
501,20,9
502,31,6
503,15,9
504,42,8
505,23,11
506,18,10
507,29,5
508,24,11
509,37,9
510,26,10
511,35,9
512,37,8
513,26,11
514,17,7
515,19,6
516,21,16
517,20,13
518,20,8
519,40,7
520,38,2
521,26,9
522,30,5
523,38,8
524,36,8
525,46,2
526,26,8
527,19,16
528,33,7
529,29,16
530,24,14
531,34,9
532,43,18
533,27,8
534,27,15
535,34,11
536,29,17
537,32,10
538,33,8
539,22,16
540,30,9
541,32,10
542,35,9
543,27,14
544,38,16
545,31,11
546,39,7
547,32,13
548,21,12
549,22,22
550,37,6
551,18,13
552,26,10
553,32,10
554,23,12
555,27,16
556,25,9
557,34,7
558,30,6
559,23,6
560,34,12
561,23,8
562,22,7
563,26,7
564,21,4
565,22,7
566,18,13
567,28,4
568,16,8
569,19,6
570,17,9
571,15,0
572,13,8
573,23,6
574,20,6
575,22,3
576,11,6
577,13,5
578,12,5
579,6,6
580,14,3
581,11,7
582,16,5
583,11,6
584,4,5
585,7,7
586,11,8
587,9,8
588,15,4
589,12,4
590,9,7
591,15,5
592,6,0
593,13,2
594,3,5
595,4,6
596,2,2
597,3,3
598,5,4
599,14,2
600,3,2
601,2,4
602,2,2
603,2,13
604,0,2
605,4,3
606,2,3
607,4,6
608,4,1
609,10,4
610,8,2
611,4,2
612,1,3
613,5,3
614,1,5
615,1,4
616,0,5
617,0,4
618,1,2
619,1,3
620,0,1
621,4,2
622,4,2
623,2,2
624,0,0
625,6,3
626,0,2
627,0,5
628,1,3
629,0,0
630,0,1
631,0,0
632,0,2
633,0,5
634,3,1
635,1,3
636,1,1
637,0,2
638,1,4
639,1,1
640,1,1
641,0,1
642,0,4
643,0,3
644,0,4
645,2,5
646,0,2
647,0,7
648,0,2
649,0,4
650,0,1
651,0,2
652,0,9
653,0,0
654,0,1
655,0,0
656,0,3
657,0,0
658,0,2
659,0,4
660,0,1
661,0,2
662,0,1
663,0,1
664,0,1
665,0,3
666,0,0
667,0,0
668,0,1
669,0,5
670,0,9
671,0,0
672,0,0
673,0,0
674,0,4
675,0,4
676,0,5
677,0,5
678,0,32
679,0,4
680,0,3
681,0,8
682,0,10
683,0,1
684,0,2
685,0,2
686,0,4
687,0,7
688,0,7
689,0,33
690,0,27
691,0,17
692,0,14
693,0,11
694,0,15
695,0,12
696,0,15
697,0,45
698,0,65
699,0,131
700,0,150
701,0,102
702,0,253
703,0,703
704,0,80621
