Base index,1500_2#TOP,1500_2#BOT
1,14669,0
2,155,0
3,17,0
4,10,0
5,7,0
6,3,0
7,8,0
8,1,0
9,7,0
10,0,0
11,0,0
12,2,0
13,3,0
14,1,0
15,0,0
16,0,0
17,4,0
18,1,0
19,2,0
20,4,0
21,2,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,2,0
28,0,0
29,3,0
30,1,0
31,2,0
32,0,0
33,0,0
34,0,0
35,0,0
36,2,0
37,2,0
38,2,0
39,0,0
40,4,0
41,0,0
42,0,0
43,0,0
44,1,0
45,0,0
46,0,0
47,0,0
48,0,0
49,2,0
50,0,0
51,1,0
52,0,0
53,1,0
54,0,0
55,2,0
56,1,0
57,1,0
58,0,0
59,0,0
60,1,0
61,2,0
62,0,0
63,2,0
64,1,0
65,2,0
66,1,0
67,1,0
68,1,0
69,0,0
70,2,0
71,1,0
72,0,0
73,0,0
74,1,0
75,0,0
76,0,0
77,1,0
78,3,0
79,0,0
80,0,0
81,1,0
82,0,0
83,1,0
84,0,0
85,0,1
86,0,0
87,1,0
88,0,0
89,2,0
90,3,0
91,0,0
92,0,0
93,2,0
94,0,0
95,2,0
96,0,0
97,0,0
98,2,0
99,1,0
100,0,0
101,0,0
102,3,0
103,0,0
104,0,0
105,1,0
106,1,0
107,1,0
108,0,0
109,0,0
110,0,0
111,0,0
112,0,0
113,0,0
114,3,0
115,1,0
116,1,0
117,1,0
118,0,0
119,1,0
120,1,0
121,3,0
122,2,0
123,1,1
124,0,0
125,1,1
126,1,0
127,0,0
128,0,0
129,0,0
130,1,0
131,0,0
132,0,1
133,5,0
134,1,0
135,3,0
136,3,0
137,0,0
138,2,0
139,1,0
140,0,1
141,0,1
142,1,1
143,0,0
144,0,1
145,1,0
146,0,1
147,3,0
148,0,1
149,1,2
150,3,0
151,0,0
152,0,0
153,2,0
154,0,0
155,0,0
156,0,1
157,0,0
158,1,0
159,0,0
160,1,1
161,1,1
162,0,0
163,0,0
164,0,1
165,0,0
166,2,1
167,0,1
168,0,1
169,1,0
170,0,2
171,0,1
172,0,2
173,0,0
174,1,0
175,0,2
176,1,1
177,0,0
178,2,2
179,0,1
180,2,0
181,0,0
182,1,0
183,0,1
184,1,1
185,0,2
186,1,0
187,1,3
188,0,0
189,1,0
190,1,1
191,0,0
192,4,0
193,0,0
194,0,0
195,1,0
196,1,1
197,0,0
198,1,4
199,0,1
200,0,1
201,2,0
202,2,2
203,0,0
204,0,1
205,0,0
206,3,0
207,1,1
208,3,0
209,3,1
210,0,2
211,0,2
212,0,0
213,0,1
214,2,0
215,0,0
216,2,0
217,0,0
218,0,0
219,0,0
220,0,0
221,1,2
222,1,0
