Base index shifted,GC_1#TOP,GC_1#BOT
-50.0,4,14
-49.0,5,17
-48.0,8,4
-47.0,11,7
-46.0,7,15
-45.0,9,12
-44.0,13,15
-43.0,19,8
-42.0,7,9
-41.0,13,10
-40.0,9,9
-39.0,15,7
-38.0,13,6
-37.0,10,10
-36.0,11,16
-35.0,9,11
-34.0,20,9
-33.0,21,6
-32.0,17,12
-31.0,36,8
-30.0,40,6
-29.0,40,10
-28.0,58,15
-27.0,57,9
-26.0,74,15
-25.0,60,13
-24.0,55,11
-23.0,48,20
-22.0,25,18
-21.0,111,13
-20.0,99,12
-19.0,101,8
-18.0,104,19
-17.0,52,18
-16.0,235,23
-15.0,148,13
-14.0,196,24
-13.0,242,14
-12.0,159,16
-11.0,506,15
-10.0,757,26
-9.0,210,17
-8.0,111,20
-7.0,1033,30
-6.0,1350,18
-5.0,1536,17
-4.0,2529,15
-3.0,2538,20
-2.0,2015,29
-1.0,2357,38
0.0,2980,62709
1.0,2322,114
2.0,3296,75
3.0,2720,66
4.0,2060,60
5.0,2443,44
6.0,1552,22
7.0,1992,67
8.0,1232,57
9.0,988,67
10.0,862,54
11.0,656,46
12.0,532,41
13.0,433,37
14.0,216,33
15.0,141,18
16.0,127,41
17.0,131,21
18.0,93,21
19.0,51,6
20.0,51,21
21.0,56,18
22.0,63,12
23.0,68,23
24.0,36,24
25.0,26,24
26.0,57,5
27.0,18,11
28.0,37,12
29.0,22,9
30.0,41,5
31.0,22,11
32.0,25,7
33.0,25,3
34.0,32,6
35.0,38,5
36.0,17,6
37.0,9,3
38.0,42,9
39.0,26,3
40.0,16,8
41.0,13,4
42.0,11,7
43.0,10,6
44.0,5,10
45.0,8,1
46.0,12,3
47.0,35,9
48.0,8,16
49.0,7,5
50.0,17,2
