Base index shifted,GC_1#TOP,GC_1#BOT
-353,57817,0
-352,440,0
-351,136,0
-350,44,0
-349,81,0
-348,39,0
-347,75,0
-346,23,0
-345,18,0
-344,11,0
-343,19,0
-342,5,0
-341,39,0
-340,13,0
-339,11,0
-338,6,0
-337,1,0
-336,6,0
-335,5,0
-334,27,0
-333,9,0
-332,4,0
-331,6,0
-330,1,0
-329,4,0
-328,8,0
-327,5,0
-326,3,0
-325,5,0
-324,3,0
-323,15,0
-322,16,0
-321,2,0
-320,1,0
-319,0,0
-318,1,0
-317,15,0
-316,3,0
-315,2,0
-314,0,0
-313,5,0
-312,11,0
-311,8,0
-310,5,0
-309,1,0
-308,3,0
-307,3,0
-306,3,0
-305,0,0
-304,3,0
-303,0,0
-302,2,0
-301,3,0
-300,1,0
-299,1,0
-298,8,0
-297,2,0
-296,16,0
-295,0,0
-294,3,0
-293,5,0
-292,3,2
-291,4,0
-290,19,0
-289,1,0
-288,3,1
-287,2,1
-286,8,1
-285,0,1
-284,4,0
-283,5,0
-282,0,0
-281,2,1
-280,4,1
-279,3,0
-278,5,1
-277,1,0
-276,4,0
-275,4,1
-274,3,0
-273,5,2
-272,2,1
-271,6,0
-270,12,0
-269,2,0
-268,19,0
-267,8,0
-266,3,3
-265,3,1
-264,16,3
-263,4,1
-262,4,0
-261,5,1
-260,5,1
-259,7,1
-258,3,2
-257,5,2
-256,5,2
-255,3,2
-254,4,0
-253,27,1
-252,6,0
-251,4,2
-250,6,0
-249,7,0
-248,5,0
-247,9,2
-246,5,2
-245,3,7
-244,10,1
-243,8,2
-242,5,1
-241,7,0
-240,11,7
-239,5,1
-238,9,1
-237,5,2
-236,7,4
-235,8,1
-234,15,2
-233,12,3
-232,3,1
-231,11,2
-230,7,0
-229,11,2
-228,6,2
-227,8,2
-226,17,3
-225,13,3
-224,11,4
-223,14,2
-222,6,2
-221,7,5
-220,7,5
-219,7,8
-218,13,6
-217,8,9
-216,14,8
-215,11,12
-214,12,13
-213,14,3
-212,7,7
-211,20,14
-210,8,8
-209,24,9
-208,9,6
-207,15,5
-206,19,7
-205,10,6
-204,33,4
-203,11,5
-202,15,7
-201,14,12
-200,12,4
-199,22,5
-198,20,15
-197,23,4
-196,10,4
-195,19,12
-194,33,3
-193,26,7
-192,17,4
-191,12,4
-190,20,7
-189,15,7
-188,16,7
-187,22,8
-186,33,13
-185,37,24
-184,37,12
-183,34,10
-182,31,3
-181,28,10
-180,32,17
-179,35,4
-178,29,4
-177,15,9
-176,30,18
-175,34,18
-174,20,4
-173,28,3
-172,23,4
-171,12,11
-170,18,3
-169,27,5
-168,25,7
-167,25,28
-166,13,6
-165,25,8
-164,15,10
-163,23,8
-162,24,12
-161,7,21
-160,19,11
-159,7,8
-158,23,6
-157,10,11
-156,29,11
-155,26,4
-154,15,7
-153,14,6
-152,13,8
-151,19,14
-150,13,16
-149,21,7
-148,15,5
-147,16,7
-146,20,10
-145,22,5
-144,17,4
-143,17,7
-142,24,8
-141,16,1
-140,12,7
-139,9,3
-138,22,2
-137,5,8
-136,18,9
-135,18,10
-134,6,6
-133,11,9
-132,10,7
-131,9,8
-130,11,17
-129,12,2
-128,12,7
-127,6,9
-126,5,9
-125,7,5
-124,7,4
-123,4,1
-122,6,5
-121,7,4
-120,4,2
-119,6,6
-118,7,3
-117,8,4
-116,4,9
-115,11,1
-114,7,3
-113,7,6
-112,7,2
-111,5,3
-110,8,6
-109,2,31
-108,7,5
-107,4,1
-106,8,4
-105,5,2
-104,8,6
-103,7,5
-102,9,9
-101,4,6
-100,8,5
-99,3,3
-98,9,7
-97,5,5
-96,5,1
-95,4,3
-94,9,12
-93,4,4
-92,4,3
-91,2,5
-90,6,2
-89,7,1
-88,2,4
-87,8,4
-86,2,5
-85,5,7
-84,9,0
-83,5,4
-82,5,1
-81,2,3
-80,3,4
-79,3,2
-78,7,1
-77,2,2
-76,4,3
-75,8,15
-74,3,7
-73,17,0
-72,4,4
-71,11,3
-70,11,3
-69,10,11
-68,9,5
-67,7,4
-66,4,3
-65,6,6
-64,7,1
-63,4,10
-62,5,3
-61,3,2
-60,3,15
-59,4,2
-58,6,1
-57,6,10
-56,5,1
-55,8,1
-54,8,1
-53,7,3
-52,1,7
-51,4,2
-50,4,4
-49,8,13
-48,11,9
-47,6,2
-46,8,1
-45,13,9
-44,19,5
-43,7,4
-42,11,4
-41,9,8
-40,14,2
-39,11,9
-38,10,3
-37,10,6
-36,9,5
-35,20,5
-34,19,2
-33,17,7
-32,33,11
-31,40,5
-30,37,8
-29,55,10
-28,55,11
-27,71,4
-26,56,24
-25,52,22
-24,47,20
-23,23,11
-22,106,17
-21,96,21
-20,97,5
-19,100,19
-18,50,21
-17,226,37
-16,144,17
-15,186,26
-14,224,35
-13,147,39
-12,482,40
-11,711,53
-10,204,63
-9,105,56
-8,975,63
-7,1292,21
-6,1484,43
-5,2427,55
-4,2444,63
-3,1923,67
-2,2259,108
-1,2831,58249
0,2214,34
1,3167,25
2,2617,18
3,1966,14
4,2338,17
5,1493,17
6,1899,29
7,1192,17
8,943,15
9,821,23
10,639,14
11,498,15
12,413,12
13,208,22
14,137,10
15,125,22
16,129,18
17,91,18
18,47,8
19,49,12
20,54,13
