Base index,GC_2#TOP,GC_2#BOT
1,67722,0
2,496,0
3,156,0
4,84,0
5,98,0
6,46,0
7,79,0
8,21,0
9,25,0
10,5,0
11,14,0
12,8,0
13,43,0
14,14,0
15,10,0
16,14,0
17,7,0
18,4,0
19,5,0
20,27,0
21,7,0
22,8,0
23,5,0
24,4,0
25,5,0
26,6,0
27,2,0
28,4,0
29,3,0
30,6,0
31,12,0
32,11,0
33,5,0
34,2,0
35,1,0
36,4,0
37,12,0
38,5,0
39,3,0
40,2,0
41,2,0
42,8,0
43,6,0
44,6,0
45,7,0
46,6,0
47,3,0
48,4,0
49,2,0
50,7,0
51,4,0
52,7,0
53,7,0
54,5,0
55,4,0
56,2,0
57,2,0
58,16,0
59,7,0
60,8,0
61,7,0
62,5,0
63,3,0
64,27,1
65,0,0
66,7,0
67,8,0
68,4,1
69,7,0
70,0,1
71,4,1
72,7,1
73,3,1
74,5,0
75,4,1
76,6,1
77,9,1
78,8,0
79,5,0
80,13,1
81,5,2
82,2,1
83,12,0
84,14,0
85,3,2
86,30,0
87,5,1
88,13,2
89,5,0
90,36,1
91,14,0
92,8,0
93,5,1
94,7,1
95,10,0
96,11,1
97,12,2
98,12,3
99,13,0
100,12,0
101,50,1
102,11,0
103,9,4
104,14,3
105,28,3
106,12,4
107,15,1
108,13,7
109,11,4
110,12,3
111,23,0
112,10,1
113,14,5
114,14,1
115,15,1
116,31,3
117,8,7
118,14,1
119,17,2
120,25,6
121,17,6
122,10,2
123,22,4
124,7,3
125,23,0
126,31,1
127,14,4
128,26,1
129,15,7
130,22,2
131,23,2
132,24,4
133,23,5
134,21,9
135,21,11
136,23,8
137,28,10
138,25,7
139,23,22
140,36,9
141,37,13
142,14,6
143,33,9
144,38,6
145,69,8
146,30,15
147,26,7
148,38,6
149,29,6
150,59,8
151,39,15
152,36,10
153,48,8
154,64,6
155,45,7
156,50,2
157,61,8
158,31,26
159,52,12
160,62,7
161,47,2
162,40,11
163,49,16
164,72,7
165,49,19
166,64,7
167,57,17
168,82,33
169,67,17
170,73,22
171,69,0
172,80,14
173,53,25
174,76,13
175,73,13
176,69,5
177,44,22
178,44,36
179,69,9
180,73,9
181,63,11
182,61,12
183,45,14
184,51,11
185,56,14
186,52,47
187,54,8
188,61,15
189,63,21
190,44,17
191,53,26
192,37,25
193,28,22
194,31,22
195,17,22
196,58,20
197,31,27
198,58,5
199,57,15
200,44,17
201,51,33
202,46,26
203,39,19
204,40,15
205,69,15
206,39,12
207,34,21
208,32,18
209,42,23
210,45,24
211,35,15
212,44,14
213,30,24
214,18,18
215,20,24
216,38,16
217,23,17
218,22,24
219,20,11
220,25,22
221,18,23
222,19,28
223,13,25
224,26,9
225,22,17
226,27,21
227,11,16
228,21,11
229,11,13
230,17,7
231,12,8
232,8,6
233,10,9
234,12,17
235,8,10
236,9,7
237,3,20
238,9,4
239,12,14
240,17,9
241,12,8
242,9,15
243,9,11
244,10,35
245,9,11
246,9,6
247,18,6
248,13,5
249,8,5
250,6,20
251,4,6
252,12,16
253,4,11
254,9,7
255,4,19
256,13,7
257,2,10
258,7,11
259,8,16
260,9,8
261,8,7
262,4,10
263,7,8
264,3,7
265,15,2
266,6,8
267,4,5
268,4,4
269,2,8
270,8,11
271,3,4
272,16,2
273,5,9
274,1,10
275,2,8
276,4,8
277,4,8
278,4,18
279,3,11
280,8,8
281,45,5
282,5,7
283,10,7
284,4,5
285,5,6
286,9,13
287,7,6
288,3,8
289,0,3
290,2,19
291,1,7
292,3,6
293,1,21
294,1,9
295,2,4
296,0,19
297,2,8
298,6,10
299,2,6
300,1,12
301,5,11
302,5,11
303,4,9
304,2,32
305,2,7
306,2,10
307,4,6
308,6,10
309,4,4
310,8,5
311,11,6
312,6,7
313,10,12
314,10,4
315,6,6
316,11,9
317,9,15
318,12,18
319,31,8
320,20,19
321,17,10
322,22,13
323,45,14
324,48,20
325,67,23
326,86,14
327,92,42
328,84,17
329,61,31
330,91,25
331,40,19
332,174,27
333,103,6
334,116,20
335,117,33
336,67,41
337,232,13
338,177,35
339,216,36
340,291,40
341,204,56
342,586,45
343,1032,68
344,271,48
345,179,51
346,1431,12
347,1779,28
348,2454,35
349,3955,85
350,4154,88
351,3613,98
352,4374,70277
353,4822,38
354,3871,23
355,5175,21
356,4320,24
357,3484,14
358,4083,14
359,2734,26
360,3088,10
361,2098,13
362,1450,17
363,1276,16
364,1071,14
365,836,15
366,749,11
367,368,12
368,187,12
369,202,14
370,186,6
371,150,8
372,109,6
373,86,8
374,64,8
375,103,12
376,86,5
377,61,13
378,50,8
379,67,7
380,25,6
381,47,5
382,35,12
383,33,4
384,21,3
385,36,5
386,31,2
387,52,3
388,29,12
389,28,4
390,35,9
391,37,4
392,33,1
393,17,4
394,19,3
395,19,7
396,11,1
397,5,5
398,12,3
399,11,4
400,38,4
401,14,7
402,13,4
403,34,4
404,18,4
405,10,1
406,13,3
407,3,4
408,9,4
409,5,1
410,4,2
411,2,4
412,3,6
413,1,3
414,11,5
415,9,1
416,0,8
417,3,4
418,6,4
419,2,0
420,3,2
421,8,3
422,1,4
423,0,0
424,3,1
425,10,0
426,9,2
427,5,2
428,4,3
429,2,5
430,1,0
431,23,1
432,2,5
433,3,2
434,8,1
435,4,1
436,2,2
437,5,5
438,9,2
439,5,1
440,7,4
441,25,3
442,9,4
443,6,9
444,5,5
445,6,7
446,3,2
447,6,4
448,8,8
449,5,0
450,10,3
451,5,3
452,10,1
453,4,7
454,9,4
455,7,7
456,9,5
457,10,7
458,10,8
459,6,6
460,13,1
461,6,7
462,10,3
463,10,6
464,7,8
465,4,5
466,3,5
467,7,3
468,8,4
469,3,6
470,3,6
471,3,3
472,5,3
473,31,9
474,10,17
475,6,10
476,18,9
477,12,10
478,12,9
479,22,10
480,9,10
481,10,11
482,12,8
483,17,6
484,8,14
485,32,14
486,13,12
487,12,18
488,53,16
489,22,30
490,12,23
491,21,20
492,35,14
493,27,14
494,16,12
495,17,20
496,22,19
497,25,23
498,14,10
499,52,7
500,32,17
501,27,26
502,24,23
503,21,26
504,45,10
505,22,30
506,19,23
507,32,23
508,26,13
509,44,23
510,28,27
511,36,18
512,32,15
513,33,11
514,31,15
515,32,7
516,30,19
517,21,19
518,30,17
519,44,19
520,66,8
521,27,12
522,47,21
523,56,16
524,33,22
525,65,9
526,40,13
527,35,19
528,31,19
529,30,25
530,41,14
531,46,24
532,88,21
533,45,17
534,44,12
535,49,19
536,59,18
537,41,14
538,40,11
539,35,18
540,37,18
541,32,15
542,53,18
543,60,23
544,46,18
545,54,22
546,51,19
547,28,26
548,45,21
549,41,26
550,56,10
551,56,12
552,59,16
553,48,23
554,27,34
555,33,27
556,49,10
557,58,8
558,36,20
559,44,4
560,32,8
561,40,10
562,19,8
563,31,15
564,31,20
565,49,14
566,30,12
567,39,8
568,27,16
569,52,13
570,24,14
571,51,10
572,25,6
573,51,7
574,33,10
575,34,10
576,18,6
577,33,4
578,24,9
579,16,9
580,21,4
581,13,11
582,38,7
583,13,10
584,8,4
585,8,7
586,24,8
587,21,3
588,28,2
589,15,4
590,15,11
591,15,7
592,12,3
593,9,7
594,10,3
595,6,6
596,10,5
597,12,7
598,3,5
599,26,2
600,9,9
601,1,5
602,5,3
603,4,6
604,2,3
605,4,3
606,7,6
607,8,15
608,4,6
609,6,4
610,20,3
611,8,0
612,4,4
613,1,0
614,1,7
615,6,2
616,2,10
617,6,2
618,4,2
619,11,7
620,1,2
621,6,2
622,0,3
623,0,2
624,1,4
625,3,5
626,0,4
627,3,3
628,2,1
629,2,2
630,2,7
631,2,2
632,1,0
633,0,2
634,3,2
635,1,3
636,0,1
637,0,4
638,2,9
639,7,2
640,0,3
