Base index,704_3#TOP,704_3#BOT
1,17095,0
2,194,0
3,21,0
4,15,0
5,27,0
6,5,0
7,4,0
8,2,0
9,9,0
10,0,0
11,0,0
12,1,0
13,0,0
14,0,0
15,0,0
16,1,0
17,1,0
18,1,0
19,0,0
20,0,0
21,3,0
22,3,0
23,2,0
24,0,0
25,1,0
26,0,0
27,0,0
28,1,0
29,1,0
30,0,0
31,0,1
32,1,0
33,0,0
34,0,0
35,0,0
36,1,0
37,1,0
38,1,0
39,1,0
40,1,0
41,0,0
42,4,0
43,0,0
44,0,0
45,1,0
46,0,0
47,0,0
48,1,0
49,0,0
50,1,0
51,0,0
52,0,0
53,1,0
54,3,0
55,0,0
56,0,0
57,0,0
58,1,0
59,0,0
60,0,0
61,1,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,1,0
68,0,0
69,1,0
70,0,0
71,1,1
72,1,0
73,0,0
74,1,0
75,2,0
76,1,0
77,2,0
78,1,0
79,0,0
80,0,0
81,0,0
82,0,0
83,1,0
84,3,0
85,0,0
86,1,0
87,1,0
88,1,0
89,0,0
90,0,0
91,0,0
92,2,0
93,0,0
94,0,0
95,1,0
96,1,0
97,1,0
98,0,0
99,0,0
100,0,1
101,0,0
102,1,0
103,1,0
104,0,0
105,1,0
106,1,0
107,1,0
108,1,0
109,1,0
110,2,0
111,0,0
112,0,0
113,0,1
114,2,0
115,0,0
116,0,0
117,0,0
118,0,0
119,1,1
120,1,0
121,0,0
122,0,0
123,1,0
124,0,0
125,1,0
126,0,0
127,0,0
128,1,1
129,1,0
130,0,0
131,1,0
132,1,0
133,0,0
134,0,0
135,0,0
136,0,0
137,0,0
138,0,1
139,0,0
140,0,1
141,0,0
142,0,1
143,0,0
144,0,1
145,0,0
146,0,0
147,0,0
148,0,1
149,1,1
150,0,0
151,0,0
152,0,0
153,0,0
154,1,0
155,2,0
156,0,0
157,0,0
158,0,3
159,1,1
160,0,1
161,0,0
162,0,0
163,0,1
164,1,2
165,1,0
166,1,3
167,2,0
