Base index,ATMi_2_1#TOP,ATMi_2_1#BOT
1,153520,0
2,1680,0
3,414,0
4,168,0
5,300,0
6,98,0
7,83,0
8,47,0
9,58,0
10,63,0
11,16,0
12,17,0
13,96,0
14,29,0
15,16,0
16,32,0
17,11,0
18,23,0
19,10,0
20,47,0
21,28,0
22,24,0
23,26,0
24,18,0
25,42,0
26,15,0
27,7,0
28,9,0
29,7,0
30,110,0
31,15,0
32,25,0
33,20,0
34,1,0
35,10,0
36,2,0
37,23,0
38,17,0
39,12,0
40,12,0
41,3,0
42,12,0
43,2,0
44,6,0
45,11,0
46,17,0
47,2,0
48,6,0
49,1,0
50,10,0
51,6,0
52,10,0
53,14,0
54,4,0
55,3,0
56,5,0
57,6,0
58,40,0
59,4,0
60,10,0
61,9,0
62,12,0
63,8,0
64,50,0
65,19,0
66,18,0
67,7,0
68,9,0
69,13,0
70,6,0
71,24,0
72,11,0
73,10,0
74,16,0
75,11,0
76,21,0
77,10,0
78,6,0
79,24,0
80,19,0
81,6,0
82,13,0
83,7,0
84,19,0
85,8,0
86,23,0
87,28,0
88,9,0
89,11,0
90,49,0
91,27,1
92,28,0
93,22,0
94,21,0
95,19,1
96,24,0
97,19,0
98,21,0
99,18,0
100,19,0
101,32,1
102,18,0
103,10,1
104,16,0
105,17,1
106,23,1
107,27,3
108,26,1
109,25,0
110,33,0
111,36,0
112,23,0
113,26,0
114,29,2
115,38,0
116,37,1
117,22,1
118,25,1
119,19,1
120,26,0
121,29,0
122,10,3
123,28,1
124,8,3
125,19,0
126,29,2
127,19,5
128,26,0
129,38,1
130,29,0
131,38,0
132,19,4
133,31,1
134,44,3
135,26,0
136,16,5
137,29,2
138,26,4
139,22,7
140,23,7
141,41,7
142,13,5
143,47,2
144,27,2
145,25,1
146,13,6
147,33,3
148,37,8
149,37,4
150,32,5
151,33,13
152,31,11
153,18,13
154,28,6
155,31,5
156,18,6
157,32,3
158,9,12
159,32,6
160,44,5
161,24,3
162,32,6
163,17,9
164,28,6
165,18,9
166,18,4
167,25,8
168,21,8
169,27,12
170,23,24
171,16,3
172,10,6
173,9,22
174,14,31
175,5,22
176,5,15
177,1,38
178,13,66
179,3,59
180,6,11
181,3,21
182,1,19
183,4,55
184,1,60
185,4,22
186,2,40
187,2,41
188,1,39
189,0,24
190,0,34
191,2,35
192,1,55
193,0,19
194,2,49
195,1,51
196,3,47
197,2,49
198,1,13
199,4,30
200,3,60
201,0,20
202,4,30
203,1,41
204,0,57
205,2,19
206,1,32
207,1,93
208,0,70
209,0,50
210,1,65
211,2,68
212,2,37
213,1,44
214,0,74
215,5,75
216,1,76
217,0,89
218,3,66
219,5,18
220,0,52
221,1,59
222,2,82
223,0,79
224,3,47
225,0,70
226,1,54
227,0,47
228,0,31
229,0,38
230,2,30
231,0,20
232,2,30
233,2,41
234,1,27
235,1,13
236,4,45
237,0,35
238,2,45
239,3,54
240,3,60
241,2,35
242,3,31
243,4,38
244,1,89
245,3,25
246,2,15
247,2,16
248,3,24
249,3,23
250,1,14
251,3,15
252,0,17
253,1,18
254,1,33
255,2,25
256,0,24
257,2,14
258,0,25
259,0,22
260,0,15
261,0,14
262,0,10
263,0,17
264,1,19
265,0,22
266,0,47
267,1,22
268,0,17
269,0,21
270,0,10
271,0,12
272,0,8
273,0,20
274,0,15
275,0,18
276,2,24
277,0,19
278,0,12
279,1,17
280,1,10
281,0,10
282,0,23
283,0,17
284,0,7
285,0,12
286,0,11
287,0,13
288,0,12
289,0,6
290,1,12
291,0,13
292,0,14
293,0,14
294,0,5
295,0,17
296,0,11
297,1,9
298,0,19
299,1,3
300,0,10
301,2,10
302,3,20
303,3,13
304,1,25
305,0,20
306,0,11
307,1,12
308,0,16
309,1,41
310,2,98
311,0,11
312,1,15
313,2,13
314,2,17
315,0,16
316,1,11
317,0,18
318,0,21
319,2,15
320,3,23
321,1,14
322,2,58
323,9,24
324,3,19
325,10,31
326,6,86
327,7,20
328,3,28
329,4,64
330,5,34
331,8,43
332,7,43
333,15,45
334,5,60
335,13,33
336,9,78
337,16,87
338,11,39
339,14,61
340,38,58
341,77,70
342,92,126
343,112,94
344,298,66
345,323,199
346,439,44
347,591,95
348,222,169
349,1258,172
350,812,175
351,959,2365
352,1199,149832
353,1443,102
354,778,57
355,351,53
356,1593,33
357,863,45
358,630,49
359,736,42
360,346,68
361,512,7
362,282,18
363,211,15
364,94,11
365,93,9
366,68,14
367,36,4
368,37,6
369,36,6
370,24,11
371,12,11
372,59,1
373,26,9
374,36,2
375,17,10
376,26,31
377,13,4
378,19,7
379,16,8
