Base index shifted,ATMi1_2#TOP,ATMi1_2#BOT
-50.0,1,3
-49.0,1,0
-48.0,2,2
-47.0,6,0
-46.0,5,2
-45.0,6,0
-44.0,3,4
-43.0,5,2
-42.0,8,2
-41.0,11,0
-40.0,9,0
-39.0,5,6
-38.0,6,6
-37.0,7,7
-36.0,3,2
-35.0,13,7
-34.0,29,5
-33.0,11,3
-32.0,11,7
-31.0,12,4
-30.0,23,2
-29.0,23,7
-28.0,36,1
-27.0,27,5
-26.0,34,8
-25.0,62,9
-24.0,32,14
-23.0,40,6
-22.0,32,4
-21.0,31,4
-20.0,73,1
-19.0,48,9
-18.0,121,4
-17.0,66,11
-16.0,91,7
-15.0,78,16
-14.0,115,10
-13.0,184,13
-12.0,370,10
-11.0,564,15
-10.0,584,14
-9.0,1913,9
-8.0,1917,110
-7.0,1984,37
-6.0,2072,28
-5.0,644,28
-4.0,4687,9
-3.0,2779,58
-2.0,7176,33
-1.0,6499,31
0.0,4272,96941
1.0,6712,2009
2.0,2151,227
3.0,7152,83
4.0,3161,146
5.0,1597,55
6.0,2304,37
7.0,892,150
8.0,1496,65
9.0,765,99
10.0,958,129
11.0,514,117
12.0,303,150
13.0,215,52
14.0,116,50
15.0,145,83
16.0,101,105
17.0,93,36
18.0,31,56
19.0,156,40
20.0,127,41
21.0,157,35
22.0,80,27
23.0,94,79
24.0,59,29
25.0,47,18
26.0,40,99
27.0,44,27
28.0,18,10
29.0,37,11
30.0,19,39
31.0,15,15
32.0,27,12
33.0,32,7
34.0,20,20
35.0,17,13
36.0,33,10
37.0,40,11
38.0,30,14
39.0,22,11
40.0,10,18
41.0,10,6
42.0,3,57
43.0,5,31
44.0,8,3
45.0,14,6
46.0,8,6
47.0,3,5
48.0,5,16
49.0,5,10
50.0,4,10
