Base index shifted,704_3#TOP,704_3#BOT
-50.0,2,0
-49.0,2,1
-48.0,1,0
-46.0,2,0
-45.0,1,0
-44.0,3,1
-43.0,1,0
-41.0,2,0
-40.0,2,0
-39.0,7,1
-37.0,2,0
-35.0,1,0
-34.0,5,1
-33.0,1,2
-32.0,3,0
-31.0,5,3
-30.0,11,1
-29.0,5,1
-28.0,1,1
-27.0,1,0
-26.0,10,1
-25.0,6,0
-24.0,3,0
-23.0,1,1
-22.0,0,1
-21.0,9,1
-20.0,9,0
-19.0,27,0
-18.0,22,1
-17.0,45,2
-16.0,64,0
-15.0,50,0
-14.0,90,0
-13.0,56,2
-12.0,91,3
-11.0,129,5
-10.0,208,3
-9.0,179,0
-8.0,234,1
-7.0,267,4
-6.0,209,3
-5.0,518,4
-4.0,523,3
-3.0,761,3
-2.0,603,3
-1.0,428,2
0.0,635,17195
1.0,459,59
2.0,717,3
3.0,685,13
4.0,399,5
5.0,861,5
6.0,283,5
7.0,385,3
8.0,370,14
9.0,197,8
10.0,88,7
11.0,97,3
12.0,114,6
13.0,108,3
14.0,76,5
15.0,28,2
16.0,17,4
17.0,29,3
18.0,23,0
19.0,6,2
20.0,3,2
21.0,13,6
22.0,6,1
23.0,15,1
24.0,6,3
25.0,5,2
26.0,5,1
27.0,3,0
28.0,5,2
29.0,4,2
30.0,3,5
31.0,2,3
32.0,3,2
33.0,7,3
34.0,4,1
35.0,0,1
36.0,7,2
37.0,4,3
38.0,6,3
39.0,2,2
40.0,4,3
41.0,2,1
42.0,1,1
43.0,1,1
44.0,2,2
45.0,0,1
46.0,1,2
47.0,0,3
48.0,0,5
49.0,0,2
50.0,0,2
