Base index shifted,ATMi_3_2#TOP,ATMi_3_2#BOT
-45.0,1,0
-44.0,1,1
-42.0,0,1
-41.0,1,2
-40.0,0,2
-39.0,1,1
-38.0,0,1
-37.0,1,1
-36.0,0,1
-35.0,1,2
-34.0,4,1
-32.0,0,1
-31.0,2,1
-30.0,6,2
-29.0,2,3
-28.0,5,0
-27.0,6,1
-26.0,12,2
-25.0,7,3
-24.0,4,16
-23.0,5,1
-22.0,1,3
-21.0,6,4
-20.0,6,2
-19.0,14,8
-18.0,15,5
-17.0,5,2
-16.0,11,2
-15.0,11,2
-14.0,13,4
-13.0,20,7
-12.0,55,5
-11.0,70,3
-10.0,113,9
-9.0,367,10
-8.0,340,68
-7.0,335,29
-6.0,634,19
-5.0,318,28
-4.0,932,17
-3.0,649,15
-2.0,824,19
-1.0,569,37
0.0,919,135495
1.0,641,1699
2.0,450,145
3.0,1036,142
4.0,565,122
5.0,544,89
6.0,571,24
7.0,226,175
8.0,444,63
9.0,344,106
10.0,155,99
11.0,72,64
12.0,75,57
13.0,62,47
14.0,41,27
15.0,38,82
16.0,23,88
17.0,22,31
18.0,9,56
19.0,38,39
20.0,25,29
21.0,30,44
22.0,25,39
23.0,16,81
24.0,18,24
25.0,21,27
26.0,11,130
27.0,21,51
28.0,8,18
29.0,10,30
30.0,2,87
31.0,3,29
32.0,7,28
33.0,5,13
34.0,5,32
35.0,6,30
36.0,4,21
37.0,13,20
38.0,4,24
39.0,2,14
40.0,3,18
41.0,3,9
42.0,0,197
43.0,0,57
44.0,3,17
45.0,0,11
46.0,2,18
47.0,2,13
48.0,0,30
49.0,1,16
50.0,0,20
