Base index shifted,ATMi3_2#TOP,ATMi3_2#BOT
-352.0,129261,0
-351.0,1287,0
-350.0,320,0
-349.0,140,0
-348.0,238,0
-347.0,82,0
-346.0,48,0
-345.0,40,0
-344.0,49,0
-343.0,48,0
-342.0,8,0
-341.0,13,0
-340.0,123,0
-339.0,14,0
-338.0,25,0
-337.0,21,0
-336.0,17,0
-335.0,12,0
-334.0,6,0
-333.0,51,0
-332.0,38,0
-331.0,25,0
-330.0,31,0
-329.0,18,0
-328.0,27,0
-327.0,10,0
-326.0,13,0
-325.0,11,0
-324.0,3,0
-323.0,164,0
-322.0,12,0
-321.0,37,0
-320.0,17,0
-319.0,4,0
-318.0,6,0
-317.0,6,0
-316.0,45,0
-315.0,25,0
-314.0,14,0
-313.0,20,0
-312.0,2,0
-311.0,6,0
-310.0,10,0
-309.0,5,0
-308.0,22,0
-307.0,9,0
-306.0,8,0
-305.0,12,0
-304.0,6,0
-303.0,11,0
-302.0,1,0
-301.0,5,0
-300.0,15,0
-299.0,11,0
-298.0,4,0
-297.0,2,0
-296.0,6,0
-295.0,43,0
-294.0,6,0
-293.0,8,0
-292.0,10,0
-291.0,3,0
-290.0,4,0
-289.0,55,0
-288.0,10,0
-287.0,12,0
-286.0,2,0
-285.0,14,1
-284.0,8,0
-283.0,3,0
-282.0,19,0
-281.0,9,0
-280.0,4,0
-279.0,17,0
-278.0,12,0
-277.0,17,0
-276.0,14,0
-275.0,4,0
-274.0,21,0
-273.0,11,0
-272.0,15,0
-271.0,12,0
-270.0,11,0
-269.0,16,0
-268.0,3,0
-267.0,23,0
-266.0,23,0
-265.0,11,0
-264.0,13,0
-263.0,66,0
-262.0,23,1
-261.0,17,0
-260.0,12,0
-259.0,16,0
-258.0,33,0
-257.0,19,0
-256.0,32,0
-255.0,13,0
-254.0,8,0
-253.0,12,1
-252.0,41,0
-251.0,12,3
-250.0,15,0
-249.0,16,0
-248.0,10,0
-247.0,19,0
-246.0,25,0
-245.0,16,0
-244.0,13,1
-243.0,13,1
-242.0,22,0
-241.0,21,0
-240.0,15,1
-239.0,16,4
-238.0,22,4
-237.0,35,1
-236.0,12,1
-235.0,16,4
-234.0,16,0
-233.0,16,5
-232.0,15,0
-231.0,9,0
-230.0,16,2
-229.0,7,3
-228.0,9,2
-227.0,23,2
-226.0,15,1
-225.0,20,1
-224.0,16,4
-223.0,17,1
-222.0,16,1
-221.0,6,1
-220.0,11,1
-219.0,22,3
-218.0,11,5
-217.0,23,2
-216.0,25,5
-215.0,17,8
-214.0,6,9
-213.0,22,13
-212.0,20,10
-211.0,15,5
-210.0,18,6
-209.0,16,7
-208.0,17,8
-207.0,13,0
-206.0,21,8
-205.0,21,3
-204.0,23,4
-203.0,43,18
-202.0,30,23
-201.0,24,5
-200.0,13,11
-199.0,13,17
-198.0,28,14
-197.0,11,13
-196.0,18,18
-195.0,8,22
-194.0,30,33
-193.0,39,14
-192.0,21,21
-191.0,23,5
-190.0,15,13
-189.0,15,15
-188.0,8,7
-187.0,15,35
-186.0,20,17
-185.0,17,7
-184.0,16,16
-183.0,31,21
-182.0,21,28
-181.0,29,9
-180.0,12,11
-179.0,16,15
-178.0,11,29
-177.0,11,23
-176.0,7,12
-175.0,8,38
-174.0,11,49
-173.0,6,40
-172.0,4,11
-171.0,10,12
-170.0,4,19
-169.0,2,35
-168.0,3,19
-167.0,2,10
-166.0,7,31
-165.0,5,31
-164.0,3,26
-163.0,2,19
-162.0,3,14
-161.0,1,20
-160.0,1,35
-159.0,0,18
-158.0,1,33
-157.0,4,45
-156.0,1,25
-155.0,2,29
-154.0,3,9
-153.0,0,19
-152.0,0,38
-151.0,3,12
-150.0,5,16
-149.0,0,34
-148.0,3,30
-147.0,3,23
-146.0,3,19
-145.0,0,58
-144.0,0,54
-143.0,1,33
-142.0,2,37
-141.0,2,36
-140.0,0,17
-139.0,1,24
-138.0,0,56
-137.0,0,47
-136.0,1,36
-135.0,0,40
-134.0,2,38
-133.0,1,7
-132.0,2,38
-131.0,2,40
-130.0,0,47
-129.0,1,63
-128.0,2,21
-127.0,1,44
-126.0,2,35
-125.0,1,42
-124.0,0,26
-123.0,0,21
-122.0,3,28
-121.0,0,11
-120.0,2,27
-119.0,0,27
-118.0,2,15
-117.0,1,14
-116.0,0,25
-115.0,1,33
-114.0,1,33
-113.0,1,31
-112.0,1,41
-111.0,2,25
-110.0,2,14
-109.0,2,19
-108.0,2,68
-107.0,3,21
-106.0,0,18
-105.0,3,6
-104.0,1,11
-103.0,0,26
-102.0,3,9
-101.0,1,17
-100.0,0,22
-99.0,0,10
-98.0,0,21
-97.0,1,19
-96.0,0,13
-95.0,0,13
-94.0,0,26
-93.0,0,6
-92.0,1,17
-91.0,1,16
-90.0,1,15
-89.0,0,13
-88.0,0,16
-87.0,0,20
-86.0,2,60
-85.0,0,17
-84.0,0,12
-83.0,0,14
-82.0,0,9
-81.0,0,10
-80.0,0,7
-79.0,0,17
-78.0,0,11
-77.0,1,14
-76.0,0,19
-75.0,0,11
-74.0,0,20
-73.0,0,17
-72.0,0,16
-71.0,0,17
-70.0,0,18
-69.0,0,28
-68.0,0,13
-67.0,0,11
-66.0,0,13
-65.0,0,7
-64.0,0,12
-63.0,1,7
-62.0,0,9
-61.0,0,14
-60.0,0,15
-59.0,0,22
-58.0,0,11
-57.0,0,19
-56.0,0,13
-55.0,0,17
-54.0,0,10
-53.0,0,13
-52.0,0,14
-51.0,0,26
-50.0,0,20
-49.0,0,14
-48.0,0,28
-47.0,0,12
-46.0,0,17
-45.0,1,11
-44.0,1,16
-43.0,0,50
-42.0,0,182
-41.0,0,7
-40.0,0,16
-39.0,1,11
-38.0,0,24
-37.0,1,18
-36.0,0,21
-35.0,1,28
-34.0,4,26
-33.0,0,13
-32.0,0,26
-31.0,1,27
-30.0,5,83
-29.0,2,27
-28.0,4,17
-27.0,5,43
-26.0,12,123
-25.0,5,26
-24.0,4,22
-23.0,5,76
-22.0,1,35
-21.0,6,40
-20.0,6,27
-19.0,14,35
-18.0,15,51
-17.0,5,28
-16.0,10,84
-15.0,10,75
-14.0,13,24
-13.0,19,45
-12.0,54,51
-11.0,64,56
-10.0,106,93
-9.0,349,104
-8.0,312,60
-7.0,323,163
-6.0,598,22
-5.0,299,87
-4.0,891,110
-3.0,615,132
-2.0,793,138
-1.0,545,1591
0.0,862,126730
1.0,603,33
2.0,422,18
3.0,989,16
4.0,543,17
5.0,513,25
6.0,544,16
7.0,214,27
8.0,420,62
9.0,326,10
10.0,147,8
11.0,69,3
12.0,73,4
13.0,61,6
