Base index shifted,ATMi3_3#TOP,ATMi3_3#BOT
-352.0,76333,0
-351.0,781,0
-350.0,224,0
-349.0,83,0
-348.0,148,0
-347.0,52,0
-346.0,41,0
-345.0,14,0
-344.0,31,0
-343.0,26,0
-342.0,12,0
-341.0,7,0
-340.0,64,0
-339.0,21,0
-338.0,13,0
-337.0,20,0
-336.0,5,0
-335.0,12,0
-334.0,7,0
-333.0,21,0
-332.0,24,0
-331.0,12,0
-330.0,11,0
-329.0,6,0
-328.0,13,0
-327.0,11,0
-326.0,10,0
-325.0,6,0
-324.0,3,0
-323.0,98,0
-322.0,12,0
-321.0,20,0
-320.0,9,0
-319.0,4,0
-318.0,4,0
-317.0,5,0
-316.0,24,0
-315.0,9,0
-314.0,5,0
-313.0,9,0
-312.0,1,0
-311.0,10,0
-310.0,4,0
-309.0,1,0
-308.0,30,0
-307.0,7,0
-306.0,5,0
-305.0,4,0
-304.0,4,0
-303.0,8,0
-302.0,4,0
-301.0,8,0
-300.0,12,0
-299.0,9,0
-298.0,2,0
-297.0,0,0
-296.0,5,0
-295.0,29,0
-294.0,7,0
-293.0,5,0
-292.0,14,0
-291.0,7,0
-290.0,6,0
-289.0,46,0
-288.0,12,0
-287.0,11,0
-286.0,5,0
-285.0,11,0
-284.0,11,0
-283.0,4,0
-282.0,15,2
-281.0,8,0
-280.0,8,1
-279.0,13,0
-278.0,2,1
-277.0,7,0
-276.0,10,1
-275.0,3,1
-274.0,12,1
-273.0,7,1
-272.0,2,1
-271.0,7,0
-270.0,4,0
-269.0,19,0
-268.0,3,1
-267.0,11,6
-266.0,17,1
-265.0,9,0
-264.0,6,0
-263.0,33,0
-262.0,12,3
-261.0,13,1
-260.0,11,1
-259.0,11,1
-258.0,14,2
-257.0,10,2
-256.0,25,2
-255.0,7,3
-254.0,9,2
-253.0,9,7
-252.0,17,5
-251.0,14,7
-250.0,7,10
-249.0,8,7
-248.0,12,2
-247.0,24,5
-246.0,12,8
-245.0,21,5
-244.0,14,7
-243.0,9,4
-242.0,16,3
-241.0,21,3
-240.0,18,4
-239.0,5,8
-238.0,15,6
-237.0,24,3
-236.0,12,9
-235.0,15,17
-234.0,15,10
-233.0,12,19
-232.0,29,1
-231.0,8,9
-230.0,16,9
-229.0,6,19
-228.0,14,18
-227.0,14,5
-226.0,10,15
-225.0,20,14
-224.0,20,7
-223.0,22,11
-222.0,30,4
-221.0,10,9
-220.0,25,9
-219.0,24,11
-218.0,16,6
-217.0,14,10
-216.0,28,11
-215.0,21,22
-214.0,10,27
-213.0,24,15
-212.0,25,29
-211.0,9,17
-210.0,18,38
-209.0,20,11
-208.0,20,13
-207.0,9,3
-206.0,30,30
-205.0,37,4
-204.0,28,17
-203.0,24,18
-202.0,35,28
-201.0,28,6
-200.0,23,26
-199.0,29,27
-198.0,34,19
-197.0,12,17
-196.0,22,33
-195.0,13,29
-194.0,31,51
-193.0,46,23
-192.0,20,32
-191.0,33,15
-190.0,22,34
-189.0,28,47
-188.0,17,27
-187.0,20,86
-186.0,29,45
-185.0,16,24
-184.0,25,29
-183.0,28,46
-182.0,35,46
-181.0,50,12
-180.0,16,13
-179.0,34,24
-178.0,21,37
-177.0,27,34
-176.0,18,13
-175.0,33,51
-174.0,26,85
-173.0,42,63
-172.0,37,11
-171.0,30,12
-170.0,16,30
-169.0,15,44
-168.0,25,39
-167.0,27,19
-166.0,27,27
-165.0,14,29
-164.0,13,31
-163.0,9,11
-162.0,21,25
-161.0,8,29
-160.0,5,44
-159.0,8,25
-158.0,4,32
-157.0,12,46
-156.0,9,24
-155.0,11,37
-154.0,31,12
-153.0,11,29
-152.0,10,49
-151.0,36,24
-150.0,17,22
-149.0,7,43
-148.0,11,33
-147.0,13,13
-146.0,6,28
-145.0,4,55
-144.0,3,49
-143.0,14,42
-142.0,16,37
-141.0,14,46
-140.0,12,15
-139.0,5,35
-138.0,7,74
-137.0,3,51
-136.0,8,54
-135.0,7,59
-134.0,13,54
-133.0,8,11
-132.0,3,49
-131.0,5,43
-130.0,4,45
-129.0,7,50
-128.0,8,30
-127.0,6,40
-126.0,5,34
-125.0,3,50
-124.0,3,29
-123.0,3,16
-122.0,3,23
-121.0,8,12
-120.0,4,16
-119.0,7,22
-118.0,9,11
-117.0,8,17
-116.0,4,26
-115.0,3,33
-114.0,4,35
-113.0,8,30
-112.0,3,51
-111.0,3,27
-110.0,10,23
-109.0,7,16
-108.0,7,68
-107.0,12,17
-106.0,4,14
-105.0,9,11
-104.0,1,11
-103.0,2,22
-102.0,13,9
-101.0,3,9
-100.0,5,16
-99.0,4,9
-98.0,5,25
-97.0,3,17
-96.0,3,16
-95.0,3,14
-94.0,4,16
-93.0,7,11
-92.0,5,13
-91.0,0,13
-90.0,1,13
-89.0,2,6
-88.0,3,11
-87.0,1,9
-86.0,2,43
-85.0,2,13
-84.0,1,12
-83.0,3,10
-82.0,1,4
-81.0,6,11
-80.0,1,6
-79.0,3,13
-78.0,2,9
-77.0,0,12
-76.0,2,13
-75.0,1,8
-74.0,5,12
-73.0,1,8
-72.0,1,8
-71.0,2,8
-70.0,4,4
-69.0,3,18
-68.0,1,10
-67.0,3,8
-66.0,2,12
-65.0,1,3
-64.0,1,6
-63.0,0,6
-62.0,3,7
-61.0,0,5
-60.0,0,6
-59.0,3,11
-58.0,1,8
-57.0,1,9
-56.0,0,15
-55.0,2,7
-54.0,5,6
-53.0,2,6
-52.0,4,7
-51.0,13,8
-50.0,4,9
-49.0,4,7
-48.0,3,9
-47.0,1,7
-46.0,1,6
-45.0,2,2
-44.0,4,6
-43.0,1,17
-42.0,3,53
-41.0,23,7
-40.0,7,7
-39.0,8,9
-38.0,8,11
-37.0,16,5
-36.0,4,5
-35.0,10,12
-34.0,5,6
-33.0,12,2
-32.0,17,8
-31.0,13,13
-30.0,20,33
-29.0,8,8
-28.0,36,10
-27.0,21,20
-26.0,63,64
-25.0,42,11
-24.0,26,13
-23.0,42,32
-22.0,25,15
-21.0,38,16
-20.0,65,22
-19.0,57,15
-18.0,94,35
-17.0,63,15
-16.0,109,50
-15.0,95,53
-14.0,101,17
-13.0,173,14
-12.0,375,22
-11.0,489,27
-10.0,669,50
-9.0,1909,56
-8.0,1854,33
-7.0,2147,102
-6.0,3200,12
-5.0,1996,54
-4.0,4514,74
-3.0,2973,109
-2.0,3674,121
-1.0,3113,895
0.0,4737,74247
1.0,2982,20
2.0,2308,12
3.0,4286,7
4.0,1929,19
5.0,1858,16
6.0,1849,7
7.0,693,19
8.0,1448,39
9.0,882,3
10.0,463,5
11.0,242,1
12.0,208,4
13.0,175,4
14.0,120,5
15.0,117,3
16.0,78,0
17.0,64,2
18.0,33,1
19.0,90,3
20.0,51,1
21.0,83,4
22.0,34,5
23.0,39,2
24.0,39,12
25.0,35,1
26.0,28,0
27.0,36,1
28.0,12,0
29.0,18,0
30.0,6,0
31.0,8,2
32.0,17,1
33.0,15,0
34.0,15,0
35.0,4,1
36.0,14,1
37.0,28,1
38.0,8,0
39.0,7,0
40.0,3,0
41.0,2,1
42.0,2,1
43.0,1,0
44.0,0,1
45.0,2,1
46.0,3,3
47.0,2,2
48.0,0,1
49.0,1,1
50.0,0,1
51.0,0,0
52.0,1,2
53.0,2,0
54.0,2,2
55.0,0,1
56.0,0,0
57.0,0,1
58.0,1,0
59.0,0,1
60.0,0,2
61.0,3,0
62.0,0,0
63.0,2,1
64.0,1,0
65.0,2,0
66.0,1,0
67.0,4,0
68.0,0,0
69.0,2,0
70.0,1,1
71.0,2,0
72.0,0,0
73.0,3,1
74.0,3,0
75.0,0,0
76.0,1,1
77.0,0,0
78.0,7,1
79.0,2,1
80.0,0,0
81.0,6,1
82.0,1,0
83.0,0,0
84.0,1,0
85.0,0,0
86.0,6,0
87.0,0,0
88.0,2,0
89.0,3,0
90.0,2,0
91.0,5,0
92.0,3,0
93.0,4,0
94.0,2,0
95.0,2,0
96.0,1,0
97.0,2,0
98.0,2,0
99.0,4,4
100.0,4,0
101.0,5,0
102.0,5,2
103.0,3,0
104.0,4,2
105.0,4,0
106.0,7,0
107.0,7,3
108.0,2,0
109.0,1,5
110.0,6,2
111.0,3,3
112.0,3,6
113.0,6,4
114.0,2,4
115.0,4,8
116.0,3,2
117.0,4,6
118.0,5,7
119.0,10,4
120.0,7,2
121.0,3,5
122.0,1,13
123.0,7,10
124.0,8,10
125.0,5,7
126.0,4,8
127.0,1,6
128.0,16,3
129.0,19,7
130.0,7,9
131.0,11,8
132.0,8,0
133.0,9,13
134.0,5,6
135.0,14,13
136.0,8,10
137.0,6,12
138.0,8,14
139.0,4,8
140.0,10,4
141.0,9,11
142.0,8,11
143.0,8,11
144.0,4,5
145.0,4,8
146.0,11,12
147.0,4,13
148.0,11,15
149.0,10,7
150.0,8,21
151.0,13,16
152.0,4,13
153.0,5,13
154.0,4,10
155.0,3,12
156.0,7,10
157.0,4,8
158.0,8,8
159.0,5,16
160.0,22,13
161.0,8,9
162.0,20,9
163.0,12,4
164.0,9,12
165.0,3,4
166.0,14,3
167.0,27,9
168.0,13,12
169.0,10,16
170.0,11,15
171.0,3,10
172.0,11,17
173.0,7,12
174.0,5,12
175.0,8,25
176.0,13,11
177.0,10,9
178.0,17,8
179.0,14,7
180.0,11,10
181.0,14,13
182.0,8,14
183.0,15,12
184.0,24,12
185.0,13,9
186.0,15,8
187.0,17,12
188.0,16,12
189.0,10,6
190.0,13,10
191.0,12,18
192.0,5,19
193.0,9,21
194.0,10,11
195.0,2,12
196.0,6,12
197.0,23,8
198.0,5,9
199.0,8,13
200.0,13,5
201.0,10,18
202.0,10,12
203.0,1,5
204.0,4,10
205.0,11,7
206.0,9,6
207.0,11,13
208.0,3,9
209.0,3,10
210.0,10,3
211.0,7,15
212.0,7,18
213.0,5,3
214.0,3,9
215.0,4,12
216.0,5,12
217.0,4,8
218.0,4,4
219.0,7,9
220.0,4,8
221.0,2,4
222.0,3,11
223.0,9,6
224.0,3,5
225.0,1,3
226.0,5,9
227.0,9,5
228.0,5,8
229.0,2,11
230.0,4,3
231.0,5,3
232.0,4,6
233.0,9,5
234.0,4,12
235.0,2,3
236.0,1,11
237.0,2,7
238.0,4,2
239.0,2,4
240.0,0,3
241.0,1,4
242.0,1,4
243.0,3,2
244.0,1,0
245.0,0,2
246.0,1,3
247.0,0,0
248.0,0,1
249.0,0,1
250.0,0,4
251.0,0,7
252.0,0,1
253.0,1,1
254.0,0,0
255.0,0,7
256.0,1,1
257.0,0,0
258.0,0,2
259.0,1,5
260.0,0,1
261.0,2,4
262.0,0,1
263.0,0,5
264.0,0,0
265.0,0,4
266.0,0,3
267.0,1,1
268.0,0,1
269.0,0,0
270.0,1,3
271.0,0,0
272.0,0,2
273.0,0,1
274.0,0,2
275.0,0,2
276.0,0,1
277.0,0,0
278.0,0,4
279.0,1,2
280.0,0,1
281.0,0,3
282.0,0,0
283.0,0,1
284.0,0,1
285.0,0,1
286.0,0,2
287.0,0,0
288.0,0,2
289.0,0,0
290.0,0,2
291.0,0,1
292.0,1,0
293.0,0,8
294.0,0,2
295.0,0,1
296.0,0,1
297.0,0,4
298.0,0,1
299.0,0,1
300.0,0,8
301.0,0,1
302.0,0,1
303.0,0,0
304.0,0,1
305.0,0,3
306.0,0,3
307.0,0,2
308.0,0,3
309.0,0,3
310.0,0,0
311.0,0,0
312.0,0,1
313.0,0,3
314.0,0,1
315.0,0,0
316.0,0,0
317.0,0,1
318.0,0,1
319.0,0,0
320.0,0,1
321.0,0,2
322.0,0,5
323.0,0,13
324.0,0,3
325.0,0,2
326.0,0,12
327.0,0,0
328.0,0,4
329.0,0,3
330.0,0,25
331.0,0,1
332.0,0,1
333.0,0,2
334.0,0,3
335.0,0,6
336.0,0,4
337.0,0,18
338.0,0,4
339.0,0,3
340.0,0,7
341.0,0,9
342.0,0,5
343.0,0,8
344.0,0,20
345.0,0,20
346.0,0,33
347.0,0,69
348.0,0,88
349.0,0,58
350.0,0,164
351.0,0,741
352.0,0,51947
