Base index,ATMi2_2#TOP,ATMi2_2#BOT
1,107702,0
2,1177,0
3,274,0
4,138,0
5,228,0
6,59,0
7,47,0
8,20,0
9,56,0
10,28,0
11,12,0
12,22,0
13,68,0
14,20,0
15,23,0
16,30,0
17,11,0
18,11,0
19,6,0
20,28,0
21,23,0
22,14,0
23,18,0
24,16,0
25,28,0
26,13,0
27,9,0
28,8,0
29,8,0
30,69,0
31,5,0
32,19,0
33,10,0
34,4,0
35,7,0
36,5,0
37,20,0
38,10,0
39,11,0
40,7,0
41,2,0
42,10,0
43,3,0
44,3,0
45,7,0
46,3,0
47,4,0
48,1,0
49,3,0
50,9,0
51,4,0
52,6,0
53,8,0
54,14,0
55,5,0
56,3,0
57,4,0
58,26,0
59,3,0
60,3,0
61,3,0
62,4,0
63,6,0
64,27,0
65,4,0
66,7,0
67,6,0
68,6,1
69,4,0
70,5,0
71,8,0
72,2,0
73,8,0
74,4,0
75,6,0
76,10,0
77,9,0
78,3,0
79,12,0
80,8,0
81,5,0
82,6,0
83,9,1
84,9,0
85,5,0
86,15,0
87,12,0
88,6,1
89,5,1
90,39,0
91,7,0
92,11,0
93,9,0
94,11,0
95,9,0
96,10,0
97,14,1
98,12,0
99,4,0
100,4,2
101,12,0
102,10,3
103,6,1
104,4,0
105,7,2
106,13,1
107,14,0
108,18,1
109,15,0
110,13,1
111,16,1
112,12,0
113,14,1
114,9,0
115,18,1
116,21,1
117,5,1
118,17,2
119,6,1
120,15,0
121,23,0
122,6,1
123,13,2
124,5,0
125,6,1
126,15,1
127,8,1
128,19,1
129,10,3
130,12,2
131,27,2
132,7,6
133,11,1
134,7,0
135,18,4
136,9,3
137,14,5
138,10,4
139,8,11
140,12,7
141,16,4
142,9,3
143,22,3
144,10,3
145,15,2
146,7,10
147,24,0
148,15,9
149,10,11
150,16,8
151,14,3
152,20,6
153,13,5
154,20,3
155,14,2
156,3,7
157,19,7
158,5,13
159,27,5
160,37,9
161,15,4
162,21,5
163,12,14
164,15,4
165,13,14
166,7,7
167,13,8
168,4,3
169,14,9
170,10,12
171,2,3
172,11,3
173,1,6
174,3,7
175,4,6
176,6,3
177,4,10
178,4,22
179,3,14
180,9,4
181,2,7
182,4,7
183,3,20
184,2,14
185,2,10
186,6,20
187,2,15
188,4,8
189,4,3
190,2,14
191,0,14
192,3,22
193,0,20
194,0,22
195,1,31
196,1,21
197,1,31
198,1,4
199,2,18
200,0,28
201,2,12
202,0,4
203,2,30
204,1,35
