Base index shifted,AT_1#TOP,AT_1#BOT
-50.0,4,2
-49.0,7,5
-48.0,6,2
-47.0,10,1
-46.0,11,3
-45.0,11,2
-44.0,15,2
-43.0,15,3
-42.0,12,2
-41.0,30,1
-40.0,27,2
-39.0,34,1
-38.0,19,0
-37.0,28,2
-36.0,24,5
-35.0,23,3
-34.0,62,3
-33.0,67,3
-32.0,81,3
-31.0,83,7
-30.0,97,0
-29.0,105,4
-28.0,125,7
-27.0,180,2
-26.0,146,3
-25.0,181,4
-24.0,166,2
-23.0,227,5
-22.0,211,8
-21.0,271,3
-20.0,334,4
-19.0,307,4
-18.0,398,4
-17.0,460,8
-16.0,626,12
-15.0,822,14
-14.0,1092,11
-13.0,1455,7
-12.0,1634,13
-11.0,1861,5
-10.0,2545,10
-9.0,2424,6
-8.0,3090,12
-7.0,3451,20
-6.0,3738,13
-5.0,4080,14
-4.0,4240,31
-3.0,4302,16
-2.0,4862,25
-1.0,4880,32
0.0,5077,82306
1.0,4347,478
2.0,5891,78
3.0,4824,61
4.0,4039,58
5.0,4705,85
6.0,2986,40
7.0,3415,41
8.0,2540,35
9.0,1694,49
10.0,1286,48
11.0,1052,45
12.0,861,39
13.0,835,38
14.0,413,40
15.0,192,42
16.0,230,27
17.0,203,57
18.0,189,39
19.0,114,42
20.0,81,28
21.0,70,57
22.0,121,44
23.0,91,87
24.0,82,62
25.0,64,59
26.0,53,36
27.0,48,65
28.0,45,57
29.0,52,25
30.0,54,52
31.0,47,45
32.0,44,64
33.0,33,34
34.0,55,53
35.0,41,31
36.0,50,21
37.0,48,21
38.0,47,26
39.0,38,26
40.0,26,38
41.0,30,20
42.0,22,28
43.0,21,35
44.0,12,27
45.0,8,9
46.0,19,18
47.0,50,19
48.0,24,50
49.0,19,23
50.0,34,26
