Base index shifted,1500_3#TOP,1500_3#BOT
-751,15625,0
-750,158,0
-749,22,0
-748,5,0
-747,7,0
-746,5,0
-745,5,0
-744,1,0
-743,4,0
-742,0,0
-741,1,0
-740,2,0
-739,5,0
-738,1,0
-737,0,0
-736,0,0
-735,2,0
-734,2,0
-733,0,0
-732,3,0
-731,0,0
-730,3,0
-729,0,0
-728,0,0
-727,1,0
-726,0,0
-725,0,0
-724,0,0
-723,3,0
-722,0,0
-721,0,0
-720,0,0
-719,0,0
-718,0,0
-717,1,0
-716,0,0
-715,1,0
-714,1,0
-713,1,0
-712,1,0
-711,0,0
-710,1,0
-709,0,0
-708,2,0
-707,0,0
-706,1,0
-705,1,0
-704,0,0
-703,2,0
-702,2,0
-701,1,0
-700,0,0
-699,1,0
-698,0,0
-697,1,0
-696,2,0
-695,2,0
-694,0,0
-693,0,0
-692,0,0
-691,0,0
-690,0,0
-689,0,0
-688,1,0
-687,0,0
-686,0,0
-685,2,0
-684,6,0
-683,2,0
-682,1,0
-681,2,0
-680,2,0
-679,2,0
-678,0,0
-677,0,0
-676,0,0
-675,0,0
-674,1,0
-673,0,0
-672,1,0
-671,1,0
-670,0,0
-669,1,0
-668,2,0
-667,0,0
-666,1,0
-665,3,0
-664,0,1
-663,0,0
-662,3,0
-661,1,0
-660,3,0
-659,3,0
-658,1,0
-657,0,0
-656,0,0
-655,0,0
-654,1,0
-653,0,0
-652,4,0
-651,0,0
-650,3,0
-649,0,0
-648,3,0
-647,1,0
-646,2,0
-645,6,0
-644,2,0
-643,1,1
-642,0,0
-641,3,0
-640,2,0
-639,1,0
-638,2,1
-637,1,0
-636,0,0
-635,2,0
-634,1,0
-633,1,0
-632,1,0
-631,2,0
-630,2,0
-629,0,0
-628,2,0
-627,1,0
-626,2,0
-625,2,0
-624,0,0
-623,4,0
-622,1,0
-621,1,0
-620,2,0
-619,2,0
-618,1,0
-617,3,2
-616,4,0
-615,0,1
-614,3,0
-613,2,0
-612,1,0
-611,3,1
-610,1,0
-609,2,0
-608,0,0
-607,0,0
-606,1,0
-605,0,1
-604,0,0
-603,1,0
-602,2,0
-601,1,0
-600,2,0
-599,1,1
-598,0,2
-597,1,0
-596,0,0
-595,0,0
-594,1,0
-593,0,0
-592,1,1
-591,0,0
-590,1,0
-589,1,1
-588,0,0
-587,2,0
-586,1,0
-585,0,0
-584,1,0
-583,3,1
-582,0,0
-581,1,0
-580,1,1
-579,0,0
-578,0,0
-577,0,1
-576,1,1
-575,4,0
-574,0,0
-573,1,0
-572,3,2
-571,0,0
-570,3,0
-569,2,1
-568,1,0
-567,1,0
-566,1,0
-565,0,0
-564,1,1
-563,0,3
-562,1,1
-561,1,2
-560,2,1
-559,1,0
-558,1,0
-557,0,0
-556,2,0
-555,2,0
-554,1,0
-553,1,0
-552,0,2
-551,1,1
-550,3,0
-549,1,0
-548,1,0
-547,1,1
-546,1,0
-545,0,1
-544,3,0
-543,1,0
-542,1,1
-541,1,1
-540,0,2
-539,1,0
-538,0,1
-537,2,0
-536,1,0
-535,0,0
-534,0,0
-533,0,0
-532,0,0
-531,0,0
-530,0,0
-529,0,0
-528,0,2
-527,0,4
-526,0,3
-525,0,3
-524,2,2
-523,1,0
-522,0,2
-521,0,4
-520,1,4
-519,0,2
-518,0,2
-517,0,1
-516,1,3
-515,1,7
-514,1,0
-513,0,5
-512,2,2
-511,1,1
-510,1,1
-509,0,6
-508,2,3
-507,0,6
-506,3,9
-505,0,3
-504,1,1
-503,1,10
-502,1,3
-501,0,9
-500,1,2
-499,0,1
-498,0,6
-497,2,6
-496,1,6
-495,1,7
-494,0,3
-493,0,6
-492,0,3
-491,0,4
-490,0,8
-489,1,8
-488,0,1
-487,1,3
-486,2,6
-485,2,8
-484,4,10
-483,2,1
-482,2,10
-481,0,13
-480,2,7
-479,1,4
-478,1,6
-477,0,12
-476,1,7
-475,2,6
-474,1,10
-473,1,17
-472,0,6
-471,4,10
-470,0,8
-469,1,16
-468,1,19
-467,0,10
-466,3,10
-465,1,2
-464,0,5
-463,0,16
-462,3,20
-461,5,5
-460,2,6
-459,0,8
-458,1,19
-457,1,9
-456,1,6
-455,2,6
-454,2,9
-453,1,13
-452,0,17
-451,1,18
-450,1,8
-449,1,6
-448,2,12
-447,3,9
-446,1,10
-445,1,7
-444,1,4
-443,0,11
-442,3,9
-441,0,5
-440,3,16
-439,7,4
-438,3,6
-437,3,10
-436,1,2
-435,1,15
-434,1,8
-433,1,17
-432,2,12
-431,4,9
-430,5,11
-429,3,16
-428,2,5
-427,4,12
-426,4,3
-425,2,13
-424,2,15
-423,2,9
-422,9,11
-421,3,10
-420,0,6
-419,3,5
-418,2,7
-417,2,11
-416,3,6
-415,2,8
-414,3,10
-413,0,4
-412,6,8
-411,1,15
-410,2,16
-409,0,5
-408,3,11
-407,2,20
-406,3,13
-405,0,4
-404,3,7
-403,3,13
-402,3,17
-401,3,12
-400,1,5
-399,1,6
-398,0,10
-397,3,11
-396,0,10
-395,2,10
-394,2,8
-393,2,9
-392,8,7
-391,1,15
-390,1,12
-389,3,9
-388,1,7
-387,6,11
-386,1,15
-385,2,7
-384,3,11
-383,3,2
-382,4,8
-381,4,6
-380,4,8
-379,2,12
-378,0,7
-377,1,10
-376,7,13
-375,2,12
-374,1,14
-373,3,10
-372,5,6
-371,4,8
-370,2,12
-369,3,20
-368,2,13
-367,1,7
-366,2,11
-365,0,7
-364,6,4
-363,1,4
-362,3,8
